dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.120357,5.158397,0.002454,0.049078,0.490784,4.907842,0.000095
0.100000,0.127718,5.158400,0.009816,0.098157,0.490784,0.000000,0.000475
0.100000,0.139988,5.158409,0.022085,0.147235,0.490784,0.000000,0.001132
0.100000,0.157165,5.158437,0.039263,0.196314,0.490784,-0.000000,0.002103
0.100000,0.179251,5.158498,0.061348,0.245392,0.490784,0.000000,0.003441
0.100000,0.206243,5.158614,0.088341,0.294471,0.490784,0.000000,0.005210
0.100000,0.238144,5.158817,0.120242,0.343549,0.490784,-0.000000,0.007492
0.100000,0.274951,5.159145,0.157051,0.392627,0.490784,0.000000,0.010382
0.100000,0.316665,5.159652,0.198768,0.441706,0.490784,0.000000,0.013992
0.100000,0.363283,5.160406,0.245392,0.490784,0.490784,0.000000,0.018445
0.100000,0.414804,5.161494,0.296924,0.539863,0.490784,-0.000000,0.023883
0.100000,0.471223,5.163025,0.353365,0.588941,0.490784,0.000000,0.030457
0.100000,0.532535,5.165131,0.414713,0.638019,0.490784,-0.000000,0.038338
0.100000,0.598729,5.167975,0.480969,0.687098,0.490784,0.000000,0.047706
0.100000,0.669792,5.171755,0.552132,0.736176,0.490784,-0.000000,0.058753
0.100000,0.745073,5.175867,0.628204,0.785255,0.490784,0.000000,0.042420
0.100000,0.826013,5.178350,0.709183,0.834333,0.490784,0.000000,0.020675
0.100000,0.911891,5.179546,0.795070,0.883412,0.490784,-0.000000,0.009147
0.100000,1.002683,5.180308,0.885865,0.932490,0.490784,0.000000,0.009845
0.100000,1.098372,5.181854,0.981568,0.981568,0.490784,-0.000000,0.024920
0.100000,1.198901,5.185820,1.082179,1.030647,0.490784,0.000000,0.056669
0.100000,1.304066,5.194309,1.187698,1.079725,0.490784,0.000000,0.107337
0.100000,1.412910,5.208639,1.298124,1.128804,0.490784,0.000000,0.127566
0.100000,1.527558,5.221148,1.413458,1.177882,0.490784,0.000000,0.093737
0.100000,1.647350,5.231542,1.533701,1.226960,0.490784,-0.000000,0.083629
0.100000,1.771995,5.242749,1.658851,1.276039,0.490784,0.000000,0.100349
0.100000,1.901086,5.258482,1.788908,1.325117,0.490784,0.000000,0.147202
0.100000,2.033239,5.282719,1.923874,1.374196,0.490784,0.000000,0.202715
0.100000,2.170118,5.311501,2.063748,1.423274,0.490784,0.000000,0.217484
0.100000,2.310729,5.345933,2.208529,1.472353,0.490784,-0.000000,0.268994
0.100000,2.453152,5.391832,2.358218,1.521431,0.490784,0.000000,0.360953
0.100000,2.593592,5.455049,2.512815,1.570509,0.490784,-0.000000,0.483769
0.100000,2.727723,5.534128,2.668578,1.544748,-0.257618,-7.484017,0.577175
0.100000,2.852173,5.621389,2.820599,1.495669,-0.490784,-2.331666,0.641266
0.100000,2.967907,5.711363,2.967712,1.446591,-0.490784,-0.000000,0.667448
0.100000,3.081625,5.796734,3.109917,1.397512,-0.490784,0.000000,0.631764
0.100000,3.191637,5.878871,3.247214,1.348434,-0.490784,0.000000,0.661417
0.100000,3.292799,5.964204,3.379604,1.299356,-0.490784,0.000000,0.749725
0.100000,3.381021,6.055442,3.507085,1.250277,-0.490784,0.000000,0.811221
0.100000,3.468346,6.141429,3.629659,1.201199,-0.490784,-0.000000,0.749247
0.100000,3.555892,6.220043,3.747325,1.152120,-0.490784,0.000000,0.718928
0.100000,3.640985,6.294025,3.860083,1.103042,-0.490784,0.000000,0.716795
0.100000,3.721631,6.365631,3.967933,1.053963,-0.490784,0.000000,0.739398
0.100000,3.796805,6.435165,4.070876,1.004885,-0.490784,0.000000,0.748321
0.100000,3.868603,6.501917,4.168910,0.955807,-0.490784,-0.000000,0.749404
0.100000,3.936787,6.565348,4.262037,0.906728,-0.490784,0.000000,0.748949
0.100000,4.001446,6.625363,4.350256,0.857650,-0.490784,0.000000,0.747185
0.100000,4.062638,6.681898,4.433567,0.808571,-0.490784,-0.000000,0.744329
0.100000,4.120402,6.734911,4.511970,0.759493,-0.490784,0.000000,0.740585
0.100000,4.173989,6.784138,4.585466,0.710415,-0.490784,-0.000000,0.747812
0.100000,4.224106,6.830962,4.654053,0.661336,-0.490784,0.000000,0.754438
0.100000,4.270437,6.874650,4.717733,0.612258,-0.490784,-0.000000,0.757088
0.100000,4.313156,6.915013,4.776505,0.563179,-0.490784,0.000000,0.756545
0.100000,4.352375,6.951935,4.830369,0.514101,-0.490784,0.000000,0.753526
0.100000,4.388153,6.985351,4.879325,0.465022,-0.490784,0.000000,0.748690
0.100000,4.420508,7.015240,4.923373,0.415944,-0.490784,0.000000,0.742634
0.100000,4.449429,7.041614,4.962514,0.366866,-0.490784,-0.000000,0.735897
0.100000,4.474881,7.064507,4.996746,0.317787,-0.490784,0.000000,0.728958
0.100000,4.496817,7.083967,5.026071,0.268709,-0.490784,0.000000,0.722240
0.100000,4.515187,7.100053,5.050488,0.219630,-0.490784,-0.000000,0.716100
0.100000,4.529937,7.112821,5.069997,0.170552,-0.490784,0.000000,0.710839
0.100000,4.541022,7.122325,5.084599,0.121474,-0.490784,-0.000000,0.706695
0.100000,4.548403,7.128609,5.094292,0.072395,-0.490784,0.000000,0.703847
0.100000,4.552053,7.131704,5.099078,0.023317,-0.490784,0.000000,0.702412
0.100000,4.552943,7.132457,5.100243,0.000000,-0.233167,2.576176,0.702060
0.100000,4.552943,7.132457,5.100243,0.000000,0.000000,2.331666,0.702060
0.100000,4.552943,7.132457,5.100243,0.000000,0.000000,0.000000,0.702060
