dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.120384,4.866297,0.002454,0.049078,0.490784,4.907842,0.000095
0.100000,0.127857,4.866300,0.009927,0.074726,0.256480,-2.343038,0.000475
0.100000,0.140319,4.866310,0.022388,0.124616,0.498892,2.424114,0.001132
0.100000,0.157780,4.866338,0.039849,0.174612,0.499965,0.010732,0.002103
0.100000,0.180256,4.866400,0.062325,0.224759,0.501468,0.015029,0.003441
0.100000,0.207765,4.866518,0.089835,0.275099,0.503401,0.019330,0.005210
0.100000,0.240332,4.866725,0.122403,0.325675,0.505764,0.023634,0.007492
0.100000,0.277984,4.867060,0.160056,0.376531,0.508558,0.027940,0.010382
0.100000,0.320752,4.867580,0.202827,0.427710,0.511783,0.032243,0.013992
0.100000,0.368671,4.868356,0.250752,0.479253,0.515436,0.036534,0.018445
0.100000,0.421779,4.869478,0.303873,0.531205,0.519515,0.040792,0.023883
0.100000,0.480118,4.871060,0.362233,0.583606,0.524013,0.044982,0.030457
0.100000,0.543731,4.873245,0.425883,0.636498,0.528918,0.049048,0.038338
0.100000,0.612659,4.876208,0.494875,0.689919,0.534208,0.052897,0.047706
0.100000,0.686944,4.880159,0.569265,0.743903,0.539847,0.056388,0.058753
0.100000,0.757460,4.884030,0.639887,0.706221,-0.376826,-9.166725,0.042420
0.100000,0.832051,4.886312,0.714513,0.746260,0.400398,7.772236,0.020675
0.100000,0.914563,4.887458,0.797033,0.825197,0.789364,3.889659,0.009147
0.100000,1.005559,4.888222,0.888032,0.909989,0.847926,0.585620,0.009845
0.100000,1.105651,4.889844,0.988137,1.001052,0.910627,0.627015,0.024920
0.100000,1.215445,4.894189,1.098017,1.098799,0.977473,0.668454,0.056669
0.100000,1.335359,4.903890,1.218323,1.203060,1.042603,0.651303,0.107337
0.100000,1.450071,4.918912,1.334014,1.156914,-0.461456,-15.040586,0.127566
0.100000,1.554899,4.930331,1.439462,1.054477,-1.024366,-5.629105,0.093737
0.100000,1.671749,4.940463,1.556751,1.172889,1.184117,22.084832,0.083629
0.100000,1.801258,4.952118,1.686783,1.300323,1.274341,0.902244,0.100349
0.100000,1.943928,4.969541,1.830514,1.437302,1.369784,0.954427,0.147202
0.100000,2.092048,4.996600,1.981085,1.505710,0.684084,-6.856998,0.202715
0.100000,2.233146,5.026282,2.125271,1.441860,-0.638504,-13.225886,0.217484
0.100000,2.388358,5.064337,2.285080,1.598097,1.562375,22.008793,0.268994
0.100000,2.556312,5.118555,2.461568,1.764876,1.667787,1.054119,0.360953
0.100000,2.729454,5.196468,2.651433,1.898649,1.337728,-3.300593,0.483769
0.100000,2.887110,5.289346,2.834413,1.829800,-0.688483,-20.262104,0.577175
0.100000,3.026910,5.387317,3.005125,1.707123,-1.226774,-5.382916,0.641266
0.100000,3.148712,5.481947,3.159366,1.542413,-1.647102,-4.203272,0.667448
0.100000,3.254131,5.561013,3.291141,1.317745,-2.246674,-5.995722,0.631764
0.100000,3.371055,5.648368,3.437094,1.459532,1.417864,36.645379,0.661417
0.100000,3.491847,5.750423,3.595226,1.581323,1.217915,-1.999494,0.749725
0.100000,3.592831,5.854298,3.740098,1.448714,-1.326090,-25.440042,0.811221
0.100000,3.667292,5.927553,3.844552,1.044546,-4.041681,-27.155909,0.749247
0.100000,3.748262,6.000234,3.953358,1.088054,0.435083,44.767636,0.718928
0.100000,3.832886,6.073807,4.065493,1.121349,0.332949,-1.021344,0.716795
0.100000,3.918461,6.149806,4.179943,1.144502,0.231525,-1.014239,0.739398
0.100000,3.995552,6.221104,4.284951,1.050076,-0.944259,-11.757837,0.748321
0.100000,4.067582,6.288072,4.383301,0.983508,-0.665681,2.785782,0.749404
0.100000,4.135669,6.351412,4.476295,0.929939,-0.535688,1.299930,0.748949
0.100000,4.199950,6.411077,4.563999,0.877037,-0.529016,0.066716,0.747185
0.100000,4.260530,6.467046,4.646476,0.824768,-0.522695,0.063211,0.744329
0.100000,4.317488,6.519320,4.723785,0.773096,-0.516722,0.059732,0.740585
0.100000,4.372628,6.569976,4.798662,0.748768,-0.243281,2.734414,0.747812
0.100000,4.424159,6.618122,4.869185,0.705228,-0.435396,-1.921154,0.754438
0.100000,4.471053,6.662340,4.933639,0.644539,-0.606894,-1.714980,0.757088
0.100000,4.513657,6.702595,4.992252,0.586131,-0.584073,0.228207,0.756545
0.100000,4.552234,6.738912,5.045234,0.529823,-0.563086,0.209874,0.753526
0.100000,4.586979,6.771364,5.092778,0.475435,-0.543882,0.192037,0.748690
0.100000,4.618035,6.800053,5.135057,0.422793,-0.526418,0.174637,0.742634
0.100000,4.645501,6.825101,5.172229,0.371725,-0.510676,0.157428,0.735897
0.100000,4.669446,6.846638,5.204435,0.322059,-0.496657,0.140183,0.728958
0.100000,4.689915,6.864797,5.231797,0.273621,-0.484380,0.122773,0.722240
0.100000,4.706935,6.879701,5.254421,0.226235,-0.473862,0.105179,0.716100
0.100000,4.720524,6.891464,5.272393,0.179724,-0.465116,0.087461,0.710839
0.100000,4.730689,6.900180,5.285784,0.133909,-0.458145,0.069715,0.706695
0.100000,4.737437,6.905924,5.294646,0.088615,-0.452942,0.052027,0.703847
0.100000,4.740768,6.908748,5.299012,0.043665,-0.449497,0.034446,0.702412
0.100000,4.741579,6.909434,5.300075,0.010629,-0.330361,1.191361,0.702060
0.100000,4.741579,6.909434,5.300075,0.000000,-0.106291,2.240704,0.702060
0.100000,4.741579,6.909434,5.300075,0.000000,0.000000,1.062907,0.702060
