dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.163958,4.983947,0.002447,0.048947,0.489474,4.894737,0.000062
0.100000,0.171398,4.983949,0.009888,0.074402,0.254543,-2.349304,0.000398
0.100000,0.183796,4.983957,0.022286,0.123982,0.495804,2.412603,0.000950
0.100000,0.201149,4.983980,0.039639,0.173531,0.495492,-0.003116,0.001708
0.100000,0.223453,4.984029,0.061943,0.223037,0.495056,-0.004364,0.002658
0.100000,0.250701,4.984117,0.089191,0.272486,0.494495,-0.005612,0.003779
0.100000,0.282888,4.984259,0.121378,0.321867,0.493808,-0.006861,0.005049
0.100000,0.320004,4.984473,0.158495,0.371167,0.492997,-0.008110,0.006440
0.100000,0.362040,4.984775,0.200532,0.420373,0.492061,-0.009360,0.007919
0.100000,0.408985,4.985183,0.247479,0.469473,0.491000,-0.010610,0.009450
0.100000,0.460828,4.985714,0.299325,0.518454,0.489814,-0.011860,0.010993
0.100000,0.517555,4.986381,0.356055,0.567305,0.488503,-0.013109,0.012503
0.100000,0.579150,4.987196,0.417656,0.616012,0.487068,-0.014357,0.013930
0.100000,0.645600,4.988166,0.484113,0.664562,0.485507,-0.015605,0.015222
0.100000,0.716885,4.989292,0.555407,0.712945,0.483822,-0.016852,0.016320
0.100000,0.792989,4.990569,0.631522,0.761146,0.482012,-0.018098,0.017163
0.100000,0.873892,4.991981,0.712437,0.809154,0.480078,-0.019345,0.017684
0.100000,0.959574,4.993505,0.798132,0.856955,0.478018,-0.020593,0.017813
0.100000,1.050014,4.995105,0.888586,0.904539,0.475834,-0.021844,0.017475
0.100000,1.145189,4.996730,0.983775,0.951891,0.473524,-0.023096,0.016591
0.100000,1.245076,4.998317,1.083675,0.999000,0.471090,-0.024348,0.015077
0.100000,1.349988,4.999966,1.188600,1.049250,0.502497,0.314072,0.017232
0.100000,1.460820,5.002025,1.299451,1.108508,0.592582,0.900855,0.019695
0.100000,1.576147,5.004375,1.414803,1.153513,0.450053,-1.425294,0.020807
0.100000,1.695918,5.006858,1.534599,1.197963,0.444494,-0.055589,0.020380
0.100000,1.820078,5.009272,1.658782,1.241832,0.438695,-0.057992,0.018215
0.100000,1.948570,5.011369,1.787292,1.285098,0.432656,-0.060387,0.014104
0.100000,2.081336,5.012849,1.920066,1.327737,0.426389,-0.062673,0.007835
0.100000,2.217866,5.013370,2.056596,1.365310,0.375730,-0.506586,0.001856
0.100000,2.368713,5.015393,2.207457,1.508604,1.432943,10.572132,0.024001
0.100000,2.522750,5.020446,2.361577,1.541198,0.325939,-11.070049,0.040544
0.100000,2.679769,5.027714,2.518764,1.571871,0.306728,-0.192109,0.050827
0.100000,2.839605,5.036212,2.678826,1.600620,0.287496,-0.192313,0.054193
0.100000,3.002118,5.044790,2.841565,1.627389,0.267687,-0.198096,0.049966
0.100000,3.167164,5.052125,3.006774,1.652093,0.247040,-0.206467,0.037443
0.100000,3.334570,5.056718,3.174243,1.674687,0.225937,-0.211026,0.015905
0.100000,3.509006,5.057650,3.348682,1.744392,0.697051,4.711138,0.004188
0.100000,3.695172,5.059278,3.534855,1.861728,1.173360,4.763082,0.013160
0.100000,3.883554,5.062548,3.723265,1.884107,0.223794,-9.495652,0.021415
0.100000,4.071659,5.067287,3.911430,1.881642,-0.024650,-2.484439,0.028826
0.100000,4.258211,5.073266,4.098078,1.866479,-0.151635,-1.269854,0.033664
0.100000,4.442260,5.078898,4.282213,1.841350,-0.251294,-0.996590,0.027280
0.100000,4.625930,5.083215,4.465934,1.837211,-0.041384,2.099094,0.019480
0.100000,4.809217,5.085962,4.649241,1.833075,-0.041357,0.000274,0.010264
0.100000,4.992113,5.086896,4.832140,1.828984,-0.040915,0.004422,0.001824
0.100000,5.193559,5.092942,5.033676,2.015363,1.863792,19.047064,0.055094
0.100000,5.388635,5.107242,5.229276,1.955999,-0.593636,-24.574280,0.087990
0.100000,5.577375,5.125388,5.418885,1.896097,-0.599028,-0.053913,0.100352
0.100000,5.771550,5.147184,5.614280,1.953949,0.578521,11.775491,0.134700
0.100000,5.962747,5.176176,5.807663,1.933828,-0.201210,-7.797309,0.159993
0.100000,6.142314,5.204491,5.989448,1.817853,-1.159747,-9.585376,0.146134
0.100000,6.310475,5.225487,6.158916,1.694672,-1.231806,-0.720586,0.101442
0.100000,6.486436,5.242174,6.335665,1.767497,0.728242,19.600475,0.096038
0.100000,6.671107,5.263256,6.521537,1.858713,0.912164,1.839224,0.138668
0.100000,6.861814,5.297727,6.715333,1.937965,0.792522,-1.196420,0.225346
0.100000,7.030222,5.344523,6.890122,1.747891,-1.900738,-26.932602,0.265251
0.100000,7.165641,5.374021,7.028717,1.385944,-3.619479,-17.187404,0.196347
0.100000,7.342585,5.416025,7.210578,1.818617,4.326730,79.462089,0.292485
0.100000,7.535530,5.496831,7.419761,2.091826,2.732091,-15.946393,0.502175
0.100000,7.702384,5.611408,7.622167,2.024060,-0.677657,-34.097484,0.703074
0.100000,7.838763,5.752299,7.818252,1.960855,-0.632049,0.456080,0.898999
0.100000,7.940230,5.905407,8.001930,1.836779,-1.240757,-6.087077,1.068885
0.100000,8.010927,6.058742,8.170779,1.688486,-1.482929,-2.421722,1.206186
0.100000,8.058893,6.221131,8.340103,1.693240,0.047540,15.304690,1.360262
0.100000,8.081329,6.378807,8.499368,1.592646,-1.005946,-10.534861,1.496505
0.100000,8.083855,6.525988,8.646570,1.472023,-1.206231,-2.002849,1.608048
0.100000,8.072809,6.660582,8.781617,1.350473,-1.215501,-0.092697,1.694619
0.100000,8.040014,6.814702,8.939187,1.575703,2.252307,34.678081,1.877383
0.100000,7.986443,6.947202,9.082107,1.429199,-1.465043,-37.173505,2.024722
0.100000,7.930969,7.049875,9.198808,1.167008,-2.621906,-11.568628,2.098703
0.100000,7.883195,7.129981,9.292079,0.932704,-2.343046,2.788604,2.109138
0.100000,7.846955,7.193007,9.364781,0.727028,-2.056757,2.862882,2.065933
0.100000,7.752718,7.321287,9.523955,1.591732,8.647041,107.037982,2.338484
0.100000,7.664334,7.399324,9.641860,1.179052,-4.126797,-127.738381,2.483889
0.100000,7.603676,7.444521,9.717504,0.756444,-4.226085,-0.992874,2.501013
0.100000,7.571904,7.469700,9.758044,0.405396,-3.510478,7.156062,2.414747
0.100000,7.557170,7.485429,9.779596,0.215525,-1.898709,16.117692,2.281596
0.100000,7.482253,7.558899,9.884527,1.049306,8.337805,102.365141,2.449670
0.100000,7.408068,7.612073,9.975800,0.912733,-1.365730,-97.035351,2.587570
0.100000,7.341862,7.648446,10.051339,0.755393,-1.573396,-2.076661,2.688223
0.100000,7.286225,7.673194,10.112232,0.608926,-1.464672,1.087240,2.755420
0.100000,7.240999,7.690452,10.160639,0.484072,-1.248533,2.161393,2.796603
0.100000,7.205057,7.702881,10.198670,0.380305,-1.037678,2.108549,2.819009
0.100000,7.177117,7.712052,10.228076,0.294067,-0.862374,1.753043,2.828647
0.100000,7.156002,7.718854,10.250260,0.221838,-0.722295,1.400790,2.830314
0.100000,7.140713,7.723790,10.266326,0.160659,-0.611785,1.105096,2.827794
0.100000,7.130450,7.727140,10.277121,0.107953,-0.527065,0.847201,2.823987
0.100000,7.124632,7.729062,10.283249,0.061272,-0.466804,0.602616,2.820956
0.100000,7.122775,7.729680,10.285206,0.019574,-0.416982,0.498213,2.819842
0.100000,7.122775,7.729680,10.285206,0.000000,-0.195741,2.212412,2.819842
