dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.164169,4.983947,0.002468,0.049359,0.493589,4.935895,6.282595
0.100000,0.170851,4.983934,0.009150,0.066822,0.174631,-3.189586,6.280125
0.100000,0.182021,4.983878,0.020320,0.111700,0.448778,2.741473,6.276120
0.100000,0.197728,4.983724,0.036028,0.157074,0.453744,0.049661,6.270751
0.100000,0.218040,4.983405,0.056342,0.203147,0.460728,0.069840,6.264258
0.100000,0.243046,4.982839,0.081354,0.250122,0.469748,0.090199,6.256948
0.100000,0.272852,4.981938,0.111175,0.298203,0.480812,0.110637,6.249201
0.100000,0.307587,4.980619,0.145934,0.347594,0.493913,0.131011,6.241465
0.100000,0.347395,4.978807,0.185784,0.398498,0.509032,0.151189,6.234258
0.100000,0.392445,4.976456,0.230895,0.451112,0.526143,0.171112,6.228165
0.100000,0.442925,4.973555,0.281459,0.505635,0.545228,0.190855,6.223840
0.100000,0.499049,4.970154,0.337685,0.562264,0.566292,0.210637,6.222003
0.100000,0.561054,4.966382,0.399805,0.621201,0.589367,0.230752,6.223446
0.100000,0.629207,4.962474,0.468070,0.682651,0.614502,0.251348,6.229028
0.100000,0.703799,4.958800,0.542752,0.746821,0.641701,0.271991,6.239682
0.100000,0.785138,4.955905,0.624142,0.813900,0.670791,0.290902,6.256404
0.100000,0.873529,4.954549,0.712544,0.884017,0.701169,0.303773,6.280237
0.100000,0.965626,4.955359,0.804645,0.921011,0.369937,-3.312312,0.019373
0.100000,1.062060,4.958125,0.901118,0.964731,0.437205,0.672679,0.037039
0.100000,1.161798,4.962486,1.000952,0.998336,0.336047,-1.011579,0.049310
0.100000,1.264555,4.967920,1.103852,1.029002,0.306660,-0.293877,0.055179
0.100000,1.370054,4.973734,1.209512,1.056598,0.275958,-0.307012,0.053598
0.100000,1.478019,4.979058,1.317607,1.080953,0.243554,-0.324040,0.043458
0.100000,1.588145,4.982843,1.427798,1.101910,0.209572,-0.339822,0.023599
0.100000,1.696764,4.983782,1.536421,1.086233,-0.156771,-3.663430,6.266543
0.100000,1.805172,4.978285,1.644969,1.085473,-0.007601,1.491696,6.207310
