dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.309681,2.937757,0.000620,0.024800,0.496000,9.920000,0.000069
0.050000,1.310227,2.937757,0.002480,0.049600,0.496000,0.000000,6.283156
0.050000,1.313327,2.937756,0.005580,0.074400,0.496000,0.000000,6.282991
0.050000,1.317667,2.937755,0.009920,0.099200,0.496000,0.000000,6.282758
0.050000,1.323247,2.937752,0.015500,0.124000,0.496000,-0.000000,6.282454
0.050000,1.330067,2.937745,0.022320,0.148800,0.496000,0.000000,6.282077
0.050000,1.338127,2.937735,0.030380,0.173600,0.496000,-0.000000,6.281623
0.050000,1.347427,2.937718,0.039680,0.198400,0.496000,0.000000,6.281088
0.050000,1.357967,2.937692,0.050220,0.223200,0.496000,-0.000000,6.280467
0.050000,1.369747,2.937656,0.062000,0.248000,0.496000,0.000000,6.279754
0.050000,1.382767,2.937606,0.075020,0.272800,0.496000,0.000000,6.278944
0.050000,1.397027,2.937539,0.089280,0.297600,0.496000,-0.000000,6.278030
0.050000,1.412527,2.937451,0.104780,0.322400,0.496000,0.000000,6.277004
0.050000,1.429266,2.937338,0.121520,0.347200,0.496000,0.000000,6.275859
0.050000,1.447246,2.937195,0.139500,0.372000,0.496000,0.000000,6.274585
0.050000,1.466465,2.937016,0.158720,0.396800,0.496000,-0.000000,6.273173
0.050000,1.486924,2.936796,0.179180,0.421600,0.496000,-0.000000,6.271613
0.050000,1.508622,2.936526,0.200880,0.446400,0.496000,0.000000,6.269894
0.050000,1.531560,2.936200,0.223820,0.471200,0.496000,0.000000,6.268005
0.050000,1.555736,2.935808,0.248000,0.496000,0.496000,-0.000000,6.265933
0.050000,1.581152,2.935341,0.273420,0.520800,0.496000,0.000000,6.263666
0.050000,1.607806,2.934787,0.300080,0.545600,0.496000,0.000000,6.261190
0.050000,1.635699,2.934136,0.327980,0.570400,0.496000,-0.000000,6.258490
0.050000,1.664829,2.933374,0.357120,0.595200,0.496000,0.000000,6.255552
0.050000,1.695196,2.932487,0.387500,0.620000,0.496000,-0.000000,6.252360
0.050000,1.726799,2.931458,0.419120,0.644800,0.496000,0.000000,6.248897
0.050000,1.759638,2.930270,0.451980,0.669600,0.496000,-0.000000,6.245146
0.050000,1.793710,2.928905,0.486080,0.694400,0.496000,0.000000,6.241089
0.050000,1.829016,2.927341,0.521420,0.719200,0.496000,0.000000,6.236707
0.050000,1.865552,2.925555,0.558000,0.744000,0.496000,0.000000,6.231981
0.050000,1.903317,2.923524,0.595820,0.768800,0.496000,-0.000000,6.226891
0.050000,1.942309,2.921221,0.634880,0.793600,0.496000,0.000000,6.221415
0.050000,1.982525,2.918615,0.675180,0.818400,0.496000,-0.000000,6.215532
