dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.309706,2.582157,0.000620,0.024800,0.496000,9.920000,0.000069
0.050000,1.310217,2.582157,0.001131,0.010219,-0.291611,-15.752214,6.283156
0.050000,1.313258,2.582156,0.004172,0.060826,1.012133,26.074865,6.282991
0.050000,1.317515,2.582155,0.008429,0.085141,0.486291,-10.516826,6.282758
0.050000,1.322987,2.582152,0.013901,0.109439,0.485972,-0.006395,6.282454
0.050000,1.329673,2.582146,0.020587,0.133717,0.485564,-0.008146,6.282077
0.050000,1.337572,2.582135,0.028486,0.157970,0.485060,-0.010092,6.281623
0.050000,1.346681,2.582118,0.037595,0.182194,0.484469,-0.011816,6.281088
0.050000,1.357000,2.582094,0.047915,0.206383,0.483782,-0.013738,6.280467
0.050000,1.368527,2.582058,0.059441,0.230533,0.483008,-0.015481,6.279754
0.050000,1.381259,2.582009,0.072173,0.254640,0.482137,-0.017418,6.278944
0.050000,1.395194,2.581944,0.086108,0.278699,0.481173,-0.019282,6.278030
0.050000,1.410329,2.581858,0.101243,0.302705,0.480117,-0.021117,6.277004
0.050000,1.426661,2.581748,0.117576,0.326653,0.478965,-0.023030,6.275859
0.050000,1.444187,2.581608,0.135103,0.350539,0.477720,-0.024904,6.274585
0.050000,1.462904,2.581434,0.153821,0.374358,0.476378,-0.026850,6.273173
0.050000,1.482809,2.581220,0.173726,0.398105,0.474941,-0.028738,6.271613
0.050000,1.503896,2.580957,0.194815,0.421775,0.473402,-0.030770,6.269894
0.050000,1.526162,2.580641,0.217083,0.445364,0.471772,-0.032606,6.268005
0.050000,1.549602,2.580261,0.240526,0.468865,0.470037,-0.034704,6.265933
0.050000,1.574211,2.579808,0.265140,0.492276,0.468202,-0.036689,6.263666
0.050000,1.599985,2.579273,0.290920,0.515589,0.466267,-0.038700,6.261190
0.050000,1.626918,2.578645,0.317860,0.538800,0.464229,-0.040763,6.258490
0.050000,1.655004,2.577910,0.345955,0.561905,0.462088,-0.042817,6.255552
0.050000,1.684236,2.577056,0.375200,0.584897,0.459845,-0.044877,6.252360
0.050000,1.714609,2.576067,0.405588,0.607772,0.457489,-0.047104,6.248897
0.050000,1.746114,2.574928,0.437114,0.630523,0.455036,-0.049075,6.245146
0.050000,1.778745,2.573620,0.469772,0.653147,0.452471,-0.051303,6.241089
0.050000,1.812494,2.572125,0.503554,0.675637,0.449804,-0.053329,6.236707
0.050000,1.847352,2.570422,0.538453,0.697988,0.447028,-0.055531,6.231981
0.050000,1.883310,2.568488,0.574463,0.720196,0.444149,-0.057570,6.226891
0.050000,1.920358,2.566299,0.611576,0.742255,0.441174,-0.059502,6.221415
0.050000,1.958486,2.563829,0.649783,0.764159,0.438092,-0.061634,6.215532
0.050000,1.997683,2.561050,0.689079,0.785905,0.434922,-0.063400,6.209220
0.050000,2.037936,2.557931,0.729453,0.807489,0.431667,-0.065106,6.202455
0.050000,2.079234,2.554440,0.770898,0.828905,0.428329,-0.066762,6.195215
0.050000,2.121563,2.550543,0.813406,0.850151,0.424927,-0.068041,6.187475
0.050000,2.164907,2.546202,0.856967,0.871225,0.421468,-0.069176,6.179211
0.050000,2.209252,2.541378,0.901573,0.892124,0.417976,-0.069837,6.170399
0.050000,2.254580,2.536030,0.947216,0.912847,0.414465,-0.070223,6.161013
0.050000,2.300873,2.530113,0.993886,0.933395,0.410963,-0.070039,6.151030
0.050000,2.348112,2.523580,1.041574,0.953770,0.407502,-0.069229,6.140425
0.050000,2.396276,2.516382,1.090273,0.973976,0.404114,-0.067747,6.129173
0.050000,2.445342,2.508467,1.139974,0.994018,0.400842,-0.065451,6.117253
0.050000,2.495288,2.499780,1.190669,1.013905,0.397735,-0.062123,6.104642
0.050000,2.546087,2.490265,1.242351,1.033647,0.394842,-0.057864,6.091320
0.050000,2.597712,2.479862,1.295014,1.053259,0.392237,-0.052114,6.077269
0.050000,2.650135,2.468509,1.348652,1.072757,0.389975,-0.045222,6.062473
0.050000,2.703324,2.456142,1.403260,1.092164,0.388132,-0.036870,6.046918
0.050000,2.757248,2.442695,1.458836,1.111504,0.386802,-0.026606,6.030596
0.050000,2.811872,2.428099,1.515376,1.130807,0.386050,-0.015031,6.013501
0.050000,2.867160,2.412286,1.572881,1.150105,0.385974,-0.001513,5.995632
0.050000,2.923075,2.395183,1.631353,1.169438,0.386657,0.013645,5.976996
0.050000,2.979577,2.376719,1.690795,1.188847,0.388182,0.030507,5.957601
0.050000,3.036625,2.356820,1.751214,1.208379,0.390634,0.049033,5.937466
0.050000,3.093717,2.335604,1.812121,1.218135,0.195112,-3.910428,5.919023
0.050000,3.155627,2.311625,1.878513,1.327838,2.194070,39.979148,5.908709
0.050000,3.219201,2.286327,1.946935,1.368438,0.812000,-27.641398,5.900615
0.050000,3.284517,2.259809,2.017429,1.409884,0.828924,0.338492,5.894863
0.050000,3.351669,2.232191,2.090039,1.452192,0.846160,0.344705,5.891571
0.050000,3.420762,2.203613,2.164808,1.495391,0.863977,0.356356,5.890867
0.050000,3.491913,2.174238,2.241784,1.539521,0.882597,0.372388,5.892881
0.050000,3.565251,2.144255,2.321016,1.584628,0.902140,0.390859,5.897750
0.050000,3.640920,2.113879,2.402554,1.630758,0.922595,0.409107,5.905619
0.050000,3.719070,2.083361,2.486451,1.677946,0.943762,0.423336,5.916636
0.050000,3.799858,2.052985,2.572761,1.726205,0.965185,0.428463,5.930952
0.050000,3.883445,2.023078,2.661537,1.775509,0.986079,0.417879,5.948716
0.050000,3.969982,1.994011,2.752825,1.825771,1.005247,0.383360,5.970061
0.050000,4.059608,1.966202,2.846666,1.876822,1.021010,0.315265,5.995099
0.050000,4.152432,1.940118,2.943085,1.928381,1.031174,0.203265,6.023902
0.050000,4.248519,1.916274,3.042087,1.980033,1.033046,0.037443,6.056484
0.050000,4.347874,1.895224,3.143648,2.031216,1.023656,-0.187785,6.092778
0.050000,4.442064,1.878719,3.239272,1.912496,-2.374401,-67.961152,6.111314
0.050000,4.509349,1.864731,3.307996,1.374464,-10.760629,-167.724551,6.048307
0.050000,4.581901,1.845368,3.383088,1.501842,2.547555,266.163677,5.999712
0.050000,4.659404,1.821274,3.464249,1.623229,2.427752,-2.396072,5.966908
0.050000,4.740993,1.793692,3.550375,1.722512,1.985652,-8.841993,5.950278
0.050000,4.826425,1.763982,3.640825,1.809007,1.729894,-5.115167,5.949294
0.050000,4.915930,1.733519,3.735373,1.890948,1.638822,-1.821437,5.963321
0.050000,5.009786,1.703794,3.833823,1.969000,1.561037,-1.555701,5.991817
