dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.309681,2.937757,0.000620,0.024792,0.495840,9.916804,0.000018
0.050000,1.311479,2.937756,0.002479,0.049584,0.495840,0.000000,6.282652
0.050000,1.314578,2.937753,0.005578,0.074376,0.495840,0.000000,6.281735
0.050000,1.318916,2.937744,0.009917,0.099168,0.495840,-0.000000,6.280453
0.050000,1.324495,2.937724,0.015495,0.123960,0.495840,0.000000,6.278809
0.050000,1.331312,2.937687,0.022313,0.148752,0.495840,0.000000,6.276807
0.050000,1.339369,2.937627,0.030370,0.173544,0.495840,-0.000000,6.274452
0.050000,1.348666,2.937533,0.039667,0.198336,0.495840,0.000000,6.271748
0.050000,1.359202,2.937396,0.050204,0.223128,0.495840,0.000000,6.268702
0.050000,1.370976,2.937206,0.061980,0.247920,0.495840,-0.000000,6.265320
0.050000,1.383990,2.936949,0.074996,0.272712,0.495840,0.000000,6.261611
0.050000,1.398241,2.936613,0.089251,0.297504,0.495840,0.000000,6.257582
0.050000,1.413730,2.936182,0.104746,0.322296,0.495840,-0.000000,6.253245
0.050000,1.430456,2.935643,0.121481,0.347088,0.495840,0.000000,6.248608
0.050000,1.448418,2.934977,0.139455,0.371880,0.495840,0.000000,6.243685
0.050000,1.467615,2.934168,0.158669,0.396672,0.495840,-0.000000,6.238488
0.050000,1.488045,2.933198,0.179122,0.421464,0.495840,0.000000,6.233030
0.050000,1.509707,2.932049,0.200815,0.446256,0.495840,0.000000,6.227326
0.050000,1.532600,2.930700,0.223748,0.471048,0.495840,-0.000000,6.221393
0.050000,1.556722,2.929133,0.247920,0.495840,0.495840,0.000000,6.215246
0.050000,1.582069,2.927328,0.273332,0.520632,0.495840,0.000000,6.208904
0.050000,1.608640,2.925263,0.299983,0.545424,0.495840,-0.000000,6.202385
0.050000,1.636433,2.922919,0.327874,0.570216,0.495840,0.000000,6.195710
0.050000,1.665443,2.920274,0.357005,0.595008,0.495840,0.000000,6.188900
0.050000,1.695668,2.917310,0.387375,0.619800,0.495840,-0.000000,6.181976
0.050000,1.727105,2.914006,0.418985,0.644592,0.495840,0.000000,6.174962
0.050000,1.759749,2.910341,0.451834,0.669384,0.495840,0.000000,6.167882
0.050000,1.793597,2.906298,0.485923,0.694176,0.495840,-0.000000,6.160759
0.050000,1.828646,2.901858,0.521252,0.718968,0.495840,0.000000,6.153621
0.050000,1.864890,2.897003,0.557820,0.743760,0.495840,-0.000000,6.146493
0.050000,1.902327,2.891718,0.595628,0.768552,0.495840,0.000000,6.139403
0.050000,1.940951,2.885986,0.634675,0.793344,0.495840,-0.000000,6.132378
0.050000,1.980759,2.879794,0.674962,0.818136,0.495840,0.000000,6.125447
0.050000,2.021089,2.873069,0.716489,0.842928,0.495840,-0.000000,6.109122
0.050000,2.063137,2.865265,0.759255,0.867720,0.495840,0.000000,6.090182
0.050000,2.106239,2.856398,0.803261,0.892512,0.495840,-0.000000,6.070327
0.050000,2.150361,2.846382,0.848507,0.917304,0.495840,0.000000,6.049545
0.050000,2.195463,2.835131,0.894992,0.942096,0.495840,-0.000000,6.027827
0.050000,2.241500,2.822555,0.942716,0.966888,0.495840,0.000000,6.005172
0.050000,2.288422,2.808564,0.991680,0.991680,0.495840,-0.000000,5.981583
0.050000,2.336172,2.793067,1.041884,1.016472,0.495840,0.000000,5.957075
0.050000,2.384690,2.775970,1.093328,1.041264,0.495840,0.000000,5.931669
0.050000,2.433908,2.757183,1.146011,1.066056,0.495840,0.000000,5.905397
0.050000,2.483753,2.736617,1.199933,1.090848,0.495840,-0.000000,5.878302
0.050000,2.534146,2.714185,1.255096,1.115640,0.495840,0.000000,5.850438
0.050000,2.585004,2.689804,1.311497,1.140433,0.495840,-0.000000,5.821870
0.050000,2.635610,2.663490,1.369139,1.165225,0.495840,0.000000,5.785527
0.050000,2.686861,2.634507,1.428020,1.190017,0.495840,0.000000,5.752396
0.050000,2.738260,2.603324,1.488140,1.214809,0.495840,0.000000,5.724306
0.050000,2.789896,2.570177,1.549501,1.239601,0.495840,-0.000000,5.701740
0.050000,2.841901,2.535334,1.612101,1.264393,0.495840,0.000000,5.685115
0.050000,2.894453,2.499089,1.675940,1.289185,0.495840,-0.000000,5.674816
0.050000,2.947767,2.461768,1.741019,1.313977,0.495840,0.000000,5.671220
0.050000,3.002094,2.423731,1.807338,1.338769,0.495840,0.000000,5.674716
0.050000,3.057715,2.385385,1.874896,1.363561,0.495840,0.000000,5.685719
0.050000,3.114121,2.347524,1.943694,1.388353,0.495840,-0.000000,5.693385
0.050000,3.171561,2.308885,2.012921,1.380728,-0.152495,-12.966700,5.688474
0.050000,3.228121,2.270391,2.081337,1.355936,-0.495840,-6.866909,5.682569
0.050000,3.283414,2.232242,2.148514,1.331144,-0.495840,0.000000,5.675750
0.050000,3.337415,2.194404,2.214452,1.306352,-0.495840,0.000000,5.668072
0.050000,3.390098,2.156850,2.279149,1.281560,-0.495840,0.000000,5.659590
0.050000,3.441443,2.119560,2.342608,1.256768,-0.495840,-0.000000,5.650357
0.050000,3.491433,2.082517,2.404826,1.231976,-0.495840,0.000000,5.640428
0.050000,3.540052,2.045712,2.465805,1.207184,-0.495840,-0.000000,5.629857
0.050000,3.587288,2.009140,2.525545,1.182392,-0.495840,0.000000,5.618700
0.050000,3.633131,1.972801,2.584044,1.157600,-0.495840,0.000000,5.607012
0.050000,3.677575,1.936698,2.641305,1.132808,-0.495840,0.000000,5.594847
0.050000,3.720617,1.900842,2.697325,1.108016,-0.495840,0.000000,5.582260
0.050000,3.762255,1.865244,2.752106,1.083224,-0.495840,-0.000000,5.569308
0.050000,3.802001,1.830295,2.805648,1.058432,-0.495840,0.000000,5.553114
0.050000,3.840675,1.795085,2.857949,1.033640,-0.495840,-0.000000,5.536647
0.050000,3.877917,1.760151,2.909012,1.008848,-0.495840,0.000000,5.523313
0.050000,3.913848,1.725638,2.958834,0.984056,-0.495840,0.000000,5.512928
0.050000,3.948582,1.691668,3.007417,0.959264,-0.495840,0.000000,5.505303
0.050000,3.982218,1.658353,3.054760,0.934472,-0.495840,-0.000000,5.500248
0.050000,4.014849,1.625783,3.100864,0.909680,-0.495840,0.000000,5.497580
0.050000,4.046554,1.594040,3.145728,0.884888,-0.495840,-0.000000,5.497118
0.050000,4.077399,1.563191,3.189353,0.860096,-0.495840,0.000000,5.498686
0.050000,4.107444,1.533294,3.231738,0.835304,-0.495840,-0.000000,5.502117
0.050000,4.136733,1.504397,3.272883,0.810512,-0.495840,0.000000,5.507245
0.050000,4.165306,1.476538,3.312789,0.785720,-0.495840,-0.000000,5.513912
0.050000,4.193189,1.449750,3.351455,0.760928,-0.495840,0.000000,5.521961
0.050000,4.220401,1.424056,3.388882,0.736136,-0.495840,-0.000000,5.531240
0.050000,4.246323,1.399695,3.425069,0.711344,-0.495840,0.000000,5.525968
0.050000,4.271665,1.375630,3.460016,0.686552,-0.495840,-0.000000,5.521565
0.050000,4.296024,1.352331,3.493724,0.661760,-0.495840,0.000000,5.518685
0.050000,4.319438,1.329837,3.526192,0.636968,-0.495840,0.000000,5.517180
0.050000,4.341939,1.308182,3.557421,0.612176,-0.495840,-0.000000,5.516906
0.050000,4.363553,1.287393,3.587410,0.587384,-0.495840,0.000000,5.517727
0.050000,4.384299,1.267490,3.616159,0.562592,-0.495840,0.000000,5.519512
0.050000,4.404193,1.248490,3.643669,0.537800,-0.495840,0.000000,5.522133
0.050000,4.423244,1.230402,3.669939,0.513007,-0.495840,-0.000000,5.525472
0.050000,4.441460,1.213234,3.694970,0.488215,-0.495840,0.000000,5.529412
0.050000,4.458841,1.196989,3.718761,0.463423,-0.495840,-0.000000,5.533845
0.050000,4.475388,1.181667,3.741312,0.438631,-0.495840,-0.000000,5.538666
0.050000,4.491097,1.167266,3.762624,0.413839,-0.495840,0.000000,5.543775
0.050000,4.505963,1.153779,3.782696,0.389047,-0.495840,0.000000,5.549079
0.050000,4.519978,1.141200,3.801529,0.364255,-0.495840,-0.000000,5.554488
0.050000,4.533135,1.129520,3.819122,0.339463,-0.495840,0.000000,5.559920
0.050000,4.545423,1.118729,3.835475,0.314671,-0.495840,0.000000,5.565296
0.050000,4.556832,1.108817,3.850589,0.289879,-0.495840,-0.000000,5.570544
0.050000,4.567353,1.099772,3.864463,0.265087,-0.495840,0.000000,5.575599
0.050000,4.576974,1.091583,3.877097,0.240295,-0.495840,0.000000,5.580397
0.050000,4.585685,1.084237,3.888492,0.215503,-0.495840,0.000000,5.584884
0.050000,4.593477,1.077724,3.898648,0.190711,-0.495840,0.000000,5.589011
0.050000,4.600340,1.072033,3.907564,0.165919,-0.495840,-0.000000,5.592732
0.050000,4.606266,1.067154,3.915240,0.141127,-0.495840,0.000000,5.596009
0.050000,4.611247,1.063077,3.921676,0.116335,-0.495840,0.000000,5.598809
0.050000,4.615278,1.059797,3.926873,0.091543,-0.495840,0.000000,5.601105
0.050000,4.618352,1.057304,3.930831,0.066751,-0.495840,-0.000000,5.602874
0.050000,4.620466,1.055596,3.933548,0.041959,-0.495840,0.000000,5.604099
0.050000,4.621616,1.054668,3.935027,0.017167,-0.495840,-0.000000,5.604769
0.050000,4.621950,1.054399,3.935456,0.000000,-0.343345,3.049896,5.604964
0.050000,4.621950,1.054399,3.935456,0.000000,0.000000,6.866909,5.604964
0.050000,4.621950,1.054399,3.935456,0.000000,0.000000,0.000000,5.604964
