dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.309688,2.582157,0.000620,0.024792,0.495840,9.916804,0.000018
0.050000,1.311289,2.582156,0.002221,0.032031,0.144773,-7.021335,6.282652
0.050000,1.314062,2.582153,0.004994,0.055454,0.468460,6.473729,6.281735
0.050000,1.317945,2.582145,0.008877,0.077655,0.444017,-0.488850,6.280453
0.050000,1.322938,2.582128,0.013870,0.099875,0.444406,0.007779,6.278809
0.050000,1.329044,2.582095,0.019977,0.122120,0.444911,0.010086,6.276807
0.050000,1.336264,2.582040,0.027196,0.144397,0.445531,0.012405,6.274452
0.050000,1.344599,2.581956,0.035532,0.166710,0.446270,0.014775,6.271748
0.050000,1.354052,2.581834,0.044985,0.189067,0.447131,0.017224,6.268702
0.050000,1.364624,2.581662,0.055559,0.211473,0.448116,0.019698,6.265320
0.050000,1.376318,2.581432,0.067256,0.233934,0.449230,0.022288,6.261611
0.050000,1.389138,2.581129,0.080078,0.256458,0.450474,0.024880,6.257582
0.050000,1.403085,2.580742,0.094031,0.279051,0.451854,0.027595,6.253245
0.050000,1.418163,2.580255,0.109117,0.301719,0.453371,0.030344,6.248608
0.050000,1.434375,2.579654,0.125340,0.324471,0.455029,0.033156,6.243685
0.050000,1.451726,2.578923,0.142706,0.347312,0.456831,0.036049,6.238488
0.050000,1.470217,2.578046,0.161219,0.370251,0.458779,0.038955,6.233030
0.050000,1.489854,2.577004,0.180883,0.393295,0.460875,0.041919,6.227326
0.050000,1.510641,2.575779,0.201706,0.416451,0.463120,0.044908,6.221393
0.050000,1.532581,2.574354,0.223692,0.439727,0.465516,0.047911,6.215246
0.050000,1.555679,2.572708,0.246849,0.463130,0.468061,0.050901,6.208904
0.050000,1.579939,2.570823,0.271182,0.486668,0.470756,0.053895,6.202385
0.050000,1.605366,2.568678,0.296700,0.510347,0.473598,0.056838,6.195710
0.050000,1.631965,2.566254,0.323408,0.534177,0.476585,0.059742,6.188900
0.050000,1.659740,2.563530,0.351316,0.558162,0.479713,0.062576,6.181976
0.050000,1.688696,2.560486,0.380432,0.582311,0.482980,0.065327,6.174962
0.050000,1.718838,2.557102,0.410764,0.606630,0.486379,0.067988,6.167882
