dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.471462,2.626275,0.000620,0.024800,0.496000,9.920000,0.000034
0.050000,1.472918,2.626275,0.002076,0.029115,0.086307,-8.193856,6.283030
0.050000,1.475906,2.626274,0.005064,0.059759,0.612873,10.531314,6.282715
0.050000,1.480090,2.626271,0.009248,0.083676,0.478342,-2.690621,6.282276
0.050000,1.485470,2.626265,0.014628,0.107607,0.478611,0.005392,6.281714
0.050000,1.492048,2.626253,0.021206,0.131555,0.478959,0.006944,6.281033
0.050000,1.499824,2.626233,0.028982,0.155524,0.479383,0.008486,6.280235
0.050000,1.508800,2.626203,0.037958,0.179518,0.479885,0.010039,6.279323
0.050000,1.518977,2.626158,0.048135,0.203541,0.480464,0.011589,6.278303
0.050000,1.530356,2.626096,0.059515,0.227597,0.481122,0.013145,6.277178
0.050000,1.542940,2.626013,0.072099,0.251690,0.481857,0.014706,6.275953
0.050000,1.556731,2.625904,0.085890,0.275824,0.482670,0.016263,6.274634
0.050000,1.571731,2.625765,0.100890,0.300002,0.483562,0.017830,6.273229
0.050000,1.587941,2.625592,0.117102,0.324228,0.484531,0.019393,6.271742
0.050000,1.605365,2.625378,0.134527,0.348507,0.485580,0.020967,6.270182
0.050000,1.624006,2.625121,0.153169,0.372843,0.486706,0.022530,6.268557
0.050000,1.643865,2.624814,0.173031,0.397238,0.487911,0.024106,6.266875
0.050000,1.664947,2.624451,0.194116,0.421698,0.489195,0.025672,6.265146
0.050000,1.687254,2.624029,0.216427,0.446226,0.490557,0.027247,6.263378
0.050000,1.710790,2.623542,0.239969,0.470826,0.491998,0.028814,6.261582
0.050000,1.735559,2.622984,0.264744,0.495501,0.493517,0.030381,6.259768
0.050000,1.761564,2.622351,0.290757,0.520257,0.495114,0.031948,6.257948
0.050000,1.788810,2.621638,0.318011,0.545097,0.496790,0.033509,6.256134
0.050000,1.817300,2.620841,0.346513,0.570024,0.498543,0.035069,6.254337
0.050000,1.847039,2.619957,0.376265,0.595043,0.500374,0.036623,6.252572
0.050000,1.878031,2.618981,0.407273,0.620157,0.502283,0.038176,6.250850
0.050000,1.910282,2.617910,0.439541,0.645370,0.504269,0.039724,6.249187
