dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.324616,3.322769,0.000625,0.024991,0.499815,9.996292,6.283182
0.050000,1.326502,3.322769,0.002511,0.037726,0.254705,-4.902183,6.283148
0.050000,1.329650,3.322769,0.005658,0.062948,0.504434,4.994567,6.283082
0.050000,1.334063,3.322768,0.010072,0.088276,0.506565,0.042615,6.282968
0.050000,1.339751,3.322766,0.015760,0.113753,0.509548,0.059665,6.282786
0.050000,1.346722,3.322763,0.022731,0.139423,0.513384,0.076720,6.282508
0.050000,1.354989,3.322755,0.030997,0.165326,0.518073,0.093784,6.282102
0.050000,1.364564,3.322742,0.040573,0.191507,0.523616,0.110865,6.281529
0.050000,1.375464,3.322720,0.051473,0.218008,0.530015,0.127965,6.280744
0.050000,1.387708,3.322684,0.063717,0.244871,0.537269,0.145099,6.279695
0.050000,1.401315,3.322627,0.077324,0.272140,0.545383,0.162270,6.278326
0.050000,1.416307,3.322542,0.092317,0.299858,0.554357,0.179485,6.276573
0.050000,1.432710,3.322416,0.108720,0.328068,0.564195,0.196747,6.274368
0.050000,1.450550,3.322234,0.126561,0.356813,0.574897,0.214045,6.271635
0.050000,1.469855,3.321980,0.145867,0.386136,0.586465,0.231357,6.268292
0.050000,1.490656,3.321629,0.166671,0.416081,0.598896,0.248618,6.264254
0.050000,1.512986,3.321153,0.189006,0.446690,0.612183,0.265745,6.259425
0.050000,1.536877,3.320518,0.212906,0.478005,0.626311,0.282569,6.253706
0.050000,1.562367,3.319682,0.238410,0.510068,0.641254,0.298847,6.246994
0.050000,1.589491,3.318595,0.265555,0.542916,0.656964,0.314214,6.239176
0.050000,1.618287,3.317199,0.294385,0.576585,0.673372,0.328148,6.230138
0.050000,1.648790,3.315422,0.324940,0.611103,0.690368,0.339921,6.219761
0.050000,1.681037,3.313185,0.357264,0.646493,0.707795,0.348547,6.207921
0.050000,1.715061,3.310392,0.391403,0.682765,0.725432,0.352738,6.194495
0.050000,1.750890,3.306935,0.427398,0.719913,0.742973,0.350828,6.179359
0.050000,1.779920,3.303914,0.456585,0.583733,-2.723604,-69.331555,6.185016
0.050000,1.808735,3.301251,0.485523,0.578750,-0.099659,52.478903,6.196757
0.050000,1.839340,3.298764,0.516229,0.614123,0.707455,16.142273,6.207038
0.050000,1.871807,3.296433,0.548779,0.651014,0.737815,0.607199,6.215646
0.050000,1.906210,3.294229,0.583252,0.689457,0.768867,0.621048,6.222363
0.050000,1.942622,3.292103,0.619727,0.729495,0.800751,0.637690,6.226964
0.050000,1.981123,3.289988,0.658286,0.771177,0.833650,0.657966,6.229218
0.050000,2.021792,3.287794,0.699014,0.814565,0.867759,0.682183,6.228885
0.050000,2.064712,3.285403,0.742000,0.859727,0.903247,0.709767,6.225716
0.050000,2.109966,3.282668,0.787337,0.906737,0.940191,0.738875,6.219451
0.050000,2.157638,3.279407,0.835120,0.955661,0.978486,0.765892,6.209820
0.050000,2.207805,3.275398,0.885448,1.006547,1.017725,0.784797,6.196548
0.050000,2.260537,3.270375,0.938418,1.059400,1.057047,0.786438,6.179357
0.050000,2.315881,3.264024,0.994125,1.114147,1.094940,0.757856,6.157981
0.050000,2.373856,3.255983,1.052655,1.170599,1.129038,0.681965,6.132180
0.050000,2.434432,3.245837,1.114075,1.228396,1.155949,0.538222,6.101764
0.050000,2.482209,3.236987,1.162665,0.971808,-5.131768,-125.754341,6.109065
0.050000,2.527830,3.229431,1.208907,0.924844,-0.939285,83.849649,6.128363
0.050000,2.575891,3.222345,1.257488,0.971612,0.935367,37.493043,6.144599
0.050000,2.626463,3.215641,1.308502,1.020285,0.973462,0.761897,6.157507
0.050000,2.679614,3.209196,1.362042,1.070804,1.010389,0.738533,6.166825
0.050000,2.735412,3.202849,1.418200,1.123154,1.046988,0.731983,6.172296
0.050000,2.793925,3.196395,1.477068,1.177357,1.084060,0.741454,6.173660
0.050000,2.855221,3.189584,1.538741,1.233468,1.122218,0.763159,6.170649
0.050000,2.919365,3.182110,1.603319,1.291553,1.161702,0.789673,6.162984
0.050000,2.986411,3.173608,1.670902,1.351661,1.202153,0.809030,6.150380
0.050000,3.056395,3.163651,1.741591,1.413777,1.242334,0.803613,6.132555
0.050000,3.118608,3.153798,1.804579,1.259769,-3.080164,-86.449966,6.137942
0.050000,3.167056,3.148037,1.853369,0.975800,-5.679387,-51.984450,6.188715
0.050000,3.221502,3.143999,1.907965,1.091907,2.322153,160.030791,6.226682
0.050000,3.282172,3.141388,1.968690,1.214510,2.452059,2.598131,6.250929
0.050000,3.349256,3.139641,2.035797,1.342138,2.552544,2.009688,6.260748
0.050000,3.422979,3.137883,2.109542,1.474892,2.655080,2.050715,6.255415
0.050000,3.503607,3.134880,2.190225,1.613670,2.775569,2.409794,6.234079
0.050000,3.591360,3.128986,2.278176,1.759010,2.906801,2.624631,6.195810
0.050000,3.686209,3.118105,2.373647,1.909432,3.008434,2.032670,6.139884
0.050000,3.787529,3.099765,2.476614,2.059333,2.998030,-0.208089,6.066365
0.050000,3.855008,3.084365,2.545827,1.384264,-13.501387,-329.988345,6.089631
0.050000,3.914206,3.074538,2.605836,1.200174,-3.681807,196.391600,6.140729
0.050000,3.983839,3.065428,2.676062,1.404529,4.087117,155.378479,6.159846
0.050000,4.062898,3.055373,2.755758,1.593918,3.787765,-5.987035,6.148821
0.050000,4.150596,3.041912,2.844483,1.774501,3.611674,-3.521816,6.108876
0.050000,4.245908,3.021951,2.941863,1.947586,3.461699,-2.999507,6.041044
0.050000,4.346789,2.992132,3.047059,2.103922,3.126712,-6.699729,5.947661
0.050000,4.449457,2.949775,3.158121,2.221248,2.346521,-15.603825,5.834207
0.050000,4.491643,2.927768,3.205701,0.951608,-25.392807,-554.786552,5.894773
0.050000,4.500093,2.925625,3.214419,0.174357,-15.545013,196.955868,6.062271
0.050000,4.539161,2.918913,3.254060,0.792806,12.368986,558.279978,6.139268
0.050000,4.606933,2.909282,3.322513,1.369059,11.525064,-16.878433,6.131749
0.050000,4.700906,2.891136,3.418222,1.914188,10.902566,-12.449956,6.043980
0.050000,4.816130,2.853228,3.539521,2.425975,10.235747,-13.336388,5.880441
0.050000,4.899718,2.810977,3.633181,1.873203,-11.055435,-425.823628,5.790099
0.050000,4.942110,2.789270,3.680807,0.952529,-18.413481,-147.160934,5.827085
0.050000,4.988278,2.767363,3.731909,1.022035,1.390118,396.071992,5.850789
0.050000,5.037744,2.744931,3.786224,1.086293,1.285162,-2.099122,5.861946
