dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.324615,2.967169,0.000625,0.024991,0.499815,9.996292,6.283182
0.050000,1.326489,2.967169,0.002499,0.049981,0.499815,0.000000,6.283148
0.050000,1.329613,2.967169,0.005623,0.074972,0.499815,0.000000,6.283082
0.050000,1.333986,2.967168,0.009996,0.099963,0.499815,0.000000,6.282968
0.050000,1.339609,2.967166,0.015619,0.124954,0.499815,0.000000,6.282786
0.050000,1.346482,2.967163,0.022492,0.149944,0.499815,0.000000,6.282508
0.050000,1.354604,2.967156,0.030614,0.174935,0.499815,0.000000,6.282102
0.050000,1.363975,2.967143,0.039985,0.199926,0.499815,0.000000,6.281529
0.050000,1.374596,2.967121,0.050606,0.224917,0.499815,0.000000,6.280744
0.050000,1.386467,2.967086,0.062477,0.249907,0.499815,0.000000,6.279695
0.050000,1.399587,2.967032,0.075597,0.274898,0.499815,0.000000,6.278326
0.050000,1.413956,2.966950,0.089967,0.299889,0.499815,0.000000,6.276573
0.050000,1.429575,2.966829,0.105586,0.324879,0.499815,0.000000,6.274368
0.050000,1.446443,2.966658,0.122455,0.349870,0.499815,0.000000,6.271635
0.050000,1.464559,2.966419,0.140573,0.374861,0.499815,0.000000,6.268292
0.050000,1.483924,2.966093,0.159941,0.399852,0.499815,0.000000,6.264254
0.050000,1.504537,2.965653,0.180558,0.424842,0.499815,0.000000,6.259425
0.050000,1.526396,2.965072,0.202425,0.449833,0.499815,0.000000,6.253706
0.050000,1.549500,2.964315,0.225541,0.474824,0.499815,0.000000,6.246994
0.050000,1.573847,2.963340,0.249907,0.499815,0.499815,0.000000,6.239176
0.050000,1.599432,2.962099,0.275523,0.524805,0.499815,0.000000,6.230138
0.050000,1.626251,2.960537,0.302388,0.549796,0.499815,-0.000000,6.219761
0.050000,1.654298,2.958592,0.330502,0.574787,0.499815,0.000000,6.207921
0.050000,1.683564,2.956190,0.359867,0.599778,0.499815,-0.000000,6.194495
0.050000,1.714036,2.953250,0.390480,0.624768,0.499815,0.000000,6.179359
