dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.397919,4.528680,0.000619,0.024774,0.495489,9.909783,0.000000
0.050000,1.399543,4.528680,0.002244,0.032490,0.154305,-6.823691,0.000000
0.050000,1.402640,4.528680,0.005341,0.061936,0.588929,8.692490,0.000000
0.050000,1.406975,4.528680,0.009676,0.086711,0.495489,-1.868799,0.000000
0.050000,1.412550,4.528680,0.015250,0.111485,0.495489,0.000000,0.000000
0.050000,1.419363,4.528680,0.022063,0.136260,0.495489,0.000000,0.000000
0.050000,1.427414,4.528680,0.030115,0.161034,0.495489,-0.000000,0.000000
0.050000,1.436705,4.528680,0.039406,0.185808,0.495489,0.000000,0.000000
0.050000,1.447234,4.528680,0.049935,0.210583,0.495489,0.000000,0.000000
0.050000,1.459002,4.528680,0.061703,0.235357,0.495489,-0.000000,0.000000
0.050000,1.472008,4.528680,0.074709,0.260132,0.495489,0.000000,0.000000
0.050000,1.486254,4.528680,0.088954,0.284906,0.495489,0.000000,0.000000
0.050000,1.501738,4.528680,0.104438,0.309681,0.495489,-0.000000,0.000000
0.050000,1.518461,4.528680,0.121161,0.334455,0.495489,0.000000,0.000000
0.050000,1.536422,4.528680,0.139123,0.359230,0.495489,0.000000,0.000000
0.050000,1.555622,4.528680,0.158323,0.384004,0.495489,0.000000,0.000000
0.050000,1.576061,4.528680,0.178762,0.408779,0.495489,-0.000000,0.000000
0.050000,1.597739,4.528680,0.200440,0.433553,0.495489,0.000000,0.000000
0.050000,1.620655,4.528680,0.223356,0.458327,0.495489,-0.000000,0.000000
0.050000,1.644810,4.528680,0.247511,0.483102,0.495489,0.000000,0.000000
0.050000,1.670204,4.528680,0.272905,0.507876,0.495489,-0.000000,0.000000
0.050000,1.696837,4.528680,0.299537,0.532651,0.495489,0.000000,0.000000
0.050000,1.724708,4.528680,0.327409,0.557425,0.495489,0.000000,0.000000
0.050000,1.753818,4.528680,0.356519,0.582200,0.495489,-0.000000,0.000000
0.050000,1.784167,4.528680,0.386867,0.606974,0.495489,0.000000,0.000000
0.050000,1.815754,4.528680,0.418455,0.631749,0.495489,-0.000000,0.000000
0.050000,1.848580,4.528680,0.451281,0.656523,0.495489,0.000000,0.000000
0.050000,1.882645,4.528680,0.485346,0.681298,0.495489,-0.000000,0.000000
0.050000,1.917949,4.528680,0.520649,0.706072,0.495489,0.000000,0.000000
0.050000,1.954491,4.528680,0.557192,0.730847,0.495489,-0.000000,0.000000
0.050000,1.992272,4.528680,0.594973,0.755621,0.495489,-0.000000,0.000000
0.050000,2.031292,4.528680,0.633993,0.780395,0.495489,0.000000,0.000000
0.050000,2.071550,4.528680,0.674251,0.805170,0.495489,-0.000000,0.000000
0.050000,2.113048,4.528680,0.715748,0.829944,0.495489,0.000000,0.000000
0.050000,2.155783,4.528680,0.758484,0.854719,0.495489,0.000000,0.000000
0.050000,2.199758,4.528680,0.802459,0.879493,0.495489,-0.000000,0.000000
0.050000,2.244972,4.528680,0.847672,0.904268,0.495489,0.000000,0.000000
0.050000,2.289501,4.528759,0.892201,0.890585,-0.273654,-15.382871,0.003918
0.050000,2.335996,4.529025,0.938697,0.929912,0.786531,21.203706,0.007280
0.050000,2.384223,4.529430,0.986926,0.964587,0.693508,-1.860468,0.009249
0.050000,2.434224,4.529910,1.036930,1.000070,0.709662,0.323097,0.009712
0.050000,2.486041,4.530391,1.088749,1.036382,0.726244,0.331633,0.008553
0.050000,2.539717,4.530779,1.142426,1.073546,0.743266,0.340430,0.005652
0.050000,2.595296,4.530969,1.198005,1.111581,0.760709,0.348869,0.000887
0.050000,2.652821,4.530835,1.255531,1.150506,0.778509,0.355995,6.277316
0.050000,2.712335,4.530231,1.315047,1.190333,0.796530,0.360423,6.268444
0.050000,2.773875,4.528991,1.376600,1.231060,0.814543,0.360262,6.257329
0.050000,2.835740,4.527033,1.438496,1.237911,0.137013,-13.550591,6.246110
0.050000,2.899561,4.524322,1.502375,1.277577,0.793326,13.126252,6.235421
0.050000,2.964465,4.520880,1.567370,1.299912,0.446691,-6.932695,6.225075
0.050000,3.030431,4.516709,1.633468,1.321958,0.440928,-0.115263,6.215112
0.050000,3.097439,4.511816,1.700654,1.343716,0.435154,-0.115472,6.205574
0.050000,3.165468,4.506212,1.768913,1.365185,0.429377,-0.115540,6.196501
0.050000,3.234499,4.499911,1.838231,1.386365,0.423603,-0.115498,6.187933
0.050000,3.304515,4.492934,1.908594,1.407256,0.417830,-0.115444,6.179911
0.050000,3.374645,4.485400,1.979128,1.410672,0.068317,-6.990268,6.172561
0.050000,3.443615,4.477507,2.048548,1.388404,-0.445371,-10.273756,6.166011
0.050000,3.511020,4.469372,2.116442,1.357889,-0.610300,-3.298585,6.160268
0.050000,3.576881,4.461066,2.182825,1.327649,-0.604790,0.110199,6.155293
0.050000,3.641217,4.452650,2.247709,1.297681,-0.599356,0.108673,6.151049
0.050000,3.704048,4.444183,2.311108,1.267980,-0.594018,0.106776,6.147497
0.050000,3.765375,4.435706,2.373018,1.238193,-0.595748,-0.034604,6.142467
0.050000,3.829890,4.426036,2.438254,1.304719,1.330522,38.525406,6.126781
0.050000,3.891954,4.415835,2.501150,1.257928,-0.935829,-45.327020,6.114192
0.050000,3.951653,4.405339,2.561765,1.212309,-0.912364,0.469281,6.104533
0.050000,4.009080,4.394752,2.620160,1.167891,-0.888360,0.480088,6.097637
0.050000,4.064324,4.384249,2.676393,1.124670,-0.864429,0.478617,6.093336
0.050000,4.117471,4.373974,2.730525,1.082623,-0.840935,0.469888,6.091462
0.050000,4.168603,4.364049,2.782611,1.041720,-0.818054,0.457612,6.091857
0.050000,4.217795,4.354576,2.832707,1.001929,-0.795834,0.444397,6.094363
0.050000,4.265119,4.345633,2.880868,0.963217,-0.774237,0.431945,6.098829
0.050000,4.310638,4.337285,2.927146,0.925558,-0.753174,0.421254,6.105106
0.050000,4.354411,4.329579,2.971592,0.888931,-0.732536,0.412772,6.113050
0.050000,4.396494,4.322547,3.014258,0.853321,-0.712209,0.406528,6.122517
0.050000,4.436936,4.316212,3.055194,0.818716,-0.692097,0.402254,6.133367
0.050000,4.475786,4.310582,3.094450,0.785110,-0.672125,0.399434,6.145458
0.050000,4.513087,4.305657,3.132075,0.752497,-0.652253,0.397448,6.158651
0.050000,4.552126,4.300837,3.171410,0.786709,0.684231,26.729679,6.161391
0.050000,4.590809,4.296149,3.210376,0.779328,-0.147618,-16.636984,6.163845
0.050000,4.628139,4.291725,3.247967,0.751808,-0.550393,-8.055494,6.166686
0.050000,4.664129,4.287570,3.284197,0.724597,-0.544224,0.123364,6.169868
0.050000,4.698797,4.283685,3.319081,0.697685,-0.538244,0.119608,6.173352
0.050000,4.732154,4.280068,3.352634,0.671062,-0.532449,0.115893,6.177095
0.050000,4.764216,4.276717,3.384870,0.644720,-0.526839,0.112196,6.181059
0.050000,4.794993,4.273626,3.415803,0.618650,-0.521414,0.108512,6.185205
0.050000,4.824499,4.270789,3.445445,0.592841,-0.516174,0.104798,6.189496
0.050000,4.852745,4.268197,3.473809,0.567285,-0.511121,0.101056,6.193897
0.050000,4.879741,4.265841,3.500908,0.541972,-0.506258,0.097264,6.198374
0.050000,4.905497,4.263709,3.526752,0.516893,-0.501587,0.093419,6.202894
0.050000,4.930024,4.261791,3.551354,0.492037,-0.497111,0.089517,6.207425
0.050000,4.953331,4.260074,3.574724,0.467395,-0.492833,0.085555,6.211938
0.050000,4.975426,4.258547,3.596872,0.442958,-0.488757,0.081536,6.216403
0.050000,4.996318,4.257195,3.617807,0.418713,-0.484883,0.077465,6.220794
0.050000,5.016015,4.256007,3.637540,0.394653,-0.481216,0.073355,6.225084
0.050000,5.034524,4.254969,3.656078,0.370765,-0.477756,0.069199,6.229250
0.050000,5.051853,4.254068,3.673430,0.347040,-0.474504,0.065029,6.233268
0.050000,5.068007,4.253292,3.689604,0.323467,-0.471462,0.060837,6.237117
0.050000,5.082994,4.252628,3.704605,0.300035,-0.468630,0.056645,6.240777
0.050000,5.096820,4.252065,3.718442,0.276735,-0.466008,0.052448,6.244230
0.050000,5.109489,4.251592,3.731120,0.253555,-0.463594,0.048283,6.247459
0.050000,5.121006,4.251198,3.742644,0.230486,-0.461387,0.044127,6.250448
0.050000,5.131377,4.250872,3.753020,0.207516,-0.459388,0.039994,6.253184
