dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.208501,4.143668,0.002479,0.049574,0.495739,4.957388,0.000329
0.100000,0.215937,4.143675,0.009915,0.099148,0.495739,0.000000,0.001679
0.100000,0.228331,4.143710,0.022308,0.148722,0.495739,-0.000000,0.003865
0.100000,0.245681,4.143802,0.039659,0.198296,0.495739,0.000000,0.006787
0.100000,0.267989,4.143993,0.061967,0.247869,0.495739,0.000000,0.010308
0.100000,0.295252,4.144329,0.089233,0.297443,0.495739,-0.000000,0.014251
0.100000,0.327471,4.144857,0.121456,0.347017,0.495739,0.000000,0.018400
0.100000,0.364643,4.145619,0.158636,0.396591,0.495739,0.000000,0.022498
0.100000,0.406769,4.146649,0.200774,0.446165,0.495739,0.000000,0.026249
0.100000,0.453846,4.147962,0.247869,0.495739,0.495739,0.000000,0.029320
0.100000,0.505874,4.149547,0.299922,0.545313,0.495739,-0.000000,0.031335
0.100000,0.562855,4.151357,0.356932,0.594887,0.495739,0.000000,0.031882
0.100000,0.624792,4.153300,0.418899,0.644460,0.495739,0.000000,0.030507
0.100000,0.691689,4.155228,0.485824,0.694034,0.495739,0.000000,0.026719
0.100000,0.763551,4.156923,0.557706,0.743608,0.495739,0.000000,0.019985
0.100000,0.840381,4.158085,0.634546,0.793182,0.495739,0.000000,0.009735
0.100000,0.921530,4.158396,0.716343,0.842756,0.495739,0.000000,0.001920
0.100000,1.008283,4.158861,0.803097,0.892330,0.495739,0.000000,0.008713
0.100000,1.099988,4.159972,0.894809,0.941904,0.495739,0.000000,0.015450
0.100000,1.196639,4.161789,0.991478,0.991478,0.495739,0.000000,0.022056
0.100000,1.298233,4.164360,1.093104,1.041052,0.495739,0.000000,0.028452
0.100000,1.404764,4.167723,1.199688,1.090625,0.495739,-0.000000,0.034555
0.100000,1.516227,4.171901,1.311229,1.140199,0.495739,0.000000,0.040277
0.100000,1.631949,4.175866,1.427728,1.189773,0.495739,-0.000000,0.023026
0.100000,1.753393,4.177393,1.549184,1.239347,0.495739,0.000000,0.003355
0.100000,1.879805,4.176935,1.675597,1.288921,0.495739,-0.000000,6.273921
0.100000,2.011166,4.175320,1.806968,1.338495,0.495739,0.000000,6.269302
0.100000,2.147483,4.173619,1.943296,1.388069,0.495739,-0.000000,6.273661
0.100000,2.288237,4.173020,2.084582,1.437643,0.495739,0.000000,6.280103
0.100000,2.434477,4.172064,2.230825,1.487216,0.495739,-0.000000,6.275057
0.100000,2.585674,4.171179,2.382025,1.536790,0.495739,0.000000,6.281596
0.100000,2.738878,4.172220,2.535235,1.527402,-0.093884,-5.896231,0.017226
0.100000,2.888125,4.177036,2.685496,1.477828,-0.495739,-4.018546,0.048161
0.100000,3.033153,4.185922,2.830800,1.428254,-0.495739,-0.000000,0.072834
0.100000,3.173034,4.197333,2.971147,1.378680,-0.495739,0.000000,0.088637
0.100000,3.307836,4.209923,3.106536,1.329106,-0.495739,0.000000,0.096393
0.100000,3.437652,4.222584,3.236968,1.279532,-0.495739,-0.000000,0.096912
0.100000,3.562567,4.234420,3.362443,1.229959,-0.495739,0.000000,0.090973
0.100000,3.682642,4.244728,3.482960,1.180385,-0.495739,-0.000000,0.079322
0.100000,3.797088,4.253247,3.598520,1.130811,-0.495739,0.000000,0.070788
0.100000,3.907431,4.260824,3.709122,1.081237,-0.495739,-0.000000,0.066849
0.100000,4.012845,4.267808,3.814767,1.031663,-0.495739,0.000000,0.065928
0.100000,4.113309,4.274506,3.915455,0.982089,-0.495739,-0.000000,0.067632
0.100000,4.208809,4.281147,4.011185,0.932515,-0.495739,0.000000,0.071591
0.100000,4.299331,4.287889,4.101958,0.882941,-0.495739,0.000000,0.077449
0.100000,4.384865,4.294833,4.187773,0.833368,-0.495739,0.000000,0.084871
0.100000,4.465402,4.302026,4.268631,0.783794,-0.495739,0.000000,0.093538
0.100000,4.540176,4.309618,4.344532,0.734220,-0.495739,0.000000,0.114052
0.100000,4.610553,4.318548,4.415475,0.684646,-0.495739,0.000000,0.137066
0.100000,4.675848,4.328071,4.481461,0.635072,-0.495739,0.000000,0.151467
0.100000,4.736139,4.337529,4.542490,0.585498,-0.495739,0.000000,0.158785
0.100000,4.791494,4.346463,4.598561,0.535924,-0.495739,0.000000,0.160438
0.100000,4.841959,4.354577,4.649675,0.486350,-0.495739,0.000000,0.157717
0.100000,4.887562,4.361704,4.695831,0.436777,-0.495739,0.000000,0.151791
0.100000,4.928311,4.367778,4.737030,0.387203,-0.495739,0.000000,0.143716
0.100000,4.964201,4.372808,4.773271,0.337629,-0.495739,-0.000000,0.134438
0.100000,4.995222,4.376855,4.804556,0.288055,-0.495739,0.000000,0.124790
0.100000,5.021359,4.380013,4.830882,0.238481,-0.495739,0.000000,0.115495
0.100000,5.042596,4.382388,4.852252,0.188907,-0.495739,0.000000,0.107163
0.100000,5.058920,4.384088,4.868664,0.139333,-0.495739,0.000000,0.100285
0.100000,5.070320,4.385206,4.880118,0.089759,-0.495739,0.000000,0.095239
0.100000,5.076788,4.385815,4.886616,0.040185,-0.495739,0.000000,0.092288
0.100000,5.078789,4.385999,4.888625,0.000000,-0.401855,0.938842,0.091362
0.100000,5.078789,4.385999,4.888625,0.000000,0.000000,4.018546,0.091362
0.100000,5.078789,4.385999,4.888625,0.000000,0.000000,0.000000,0.091362
