dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.471485,5.602235,0.000623,0.024907,0.498146,9.962916,6.283087
0.050000,1.472842,5.602235,0.001981,0.027157,0.044996,-9.062992,0.000595
0.050000,1.475547,5.602238,0.004685,0.054089,0.538635,9.872776,0.001745
0.050000,1.479337,5.602248,0.008475,0.075808,0.434390,-2.084897,0.003344
0.050000,1.484218,5.602269,0.013356,0.097612,0.436076,0.033719,0.005378
0.050000,1.490194,5.602309,0.019332,0.119525,0.438250,0.043476,0.007834
0.050000,1.497272,5.602374,0.026411,0.141571,0.440919,0.053381,0.010692
0.050000,1.505460,5.602475,0.034600,0.163775,0.444086,0.063346,0.013930
0.050000,1.514767,5.602622,0.043908,0.186163,0.447761,0.073497,0.017523
0.050000,1.525203,5.602825,0.054346,0.208760,0.451945,0.083672,0.021440
0.050000,1.536780,5.603098,0.065925,0.231592,0.456643,0.093974,0.025649
0.050000,1.549509,5.603453,0.078660,0.254686,0.461863,0.104396,0.030113
0.050000,1.563405,5.603904,0.092563,0.278066,0.467603,0.114794,0.034792
0.050000,1.578483,5.604466,0.107651,0.301759,0.473866,0.125272,0.039641
0.050000,1.594758,5.605152,0.123940,0.325792,0.480652,0.135704,0.044614
0.050000,1.612248,5.605978,0.141450,0.350189,0.487956,0.146095,0.049658
0.050000,1.630971,5.606956,0.160199,0.374978,0.495777,0.156421,0.054718
0.050000,1.650947,5.608102,0.180208,0.400184,0.504109,0.166621,0.059737
0.050000,1.672198,5.609426,0.201499,0.425831,0.512944,0.176718,0.064652
0.050000,1.694744,5.610940,0.224097,0.451945,0.522278,0.186666,0.069397
0.050000,1.718610,5.612654,0.248024,0.478550,0.532102,0.196493,0.073903
0.050000,1.743821,5.614575,0.273308,0.505671,0.542413,0.206207,0.078098
0.050000,1.770402,5.616707,0.299974,0.533331,0.553205,0.215843,0.081906
0.050000,1.798381,5.619053,0.328052,0.561555,0.564477,0.225447,0.085248
0.050000,1.827789,5.621609,0.357570,0.590366,0.576231,0.235079,0.088041
0.050000,1.858655,5.624369,0.388560,0.619790,0.588471,0.244798,0.090199
0.050000,1.891013,5.627322,0.421052,0.649850,0.601205,0.254682,0.091632
0.050000,1.924898,5.630448,0.455081,0.680572,0.614444,0.264775,0.092248
0.050000,1.960346,5.633725,0.490680,0.711982,0.628200,0.275122,0.091949
0.050000,1.997396,5.637120,0.527885,0.744106,0.642486,0.285713,0.090635
0.050000,2.036089,5.640593,0.566734,0.776972,0.657310,0.296480,0.088203
0.050000,2.076468,5.644093,0.607264,0.810606,0.672673,0.307268,0.084543
0.050000,2.118577,5.647560,0.649516,0.845034,0.688563,0.317792,0.079545
0.050000,2.162463,5.650920,0.693530,0.880281,0.704942,0.327592,0.073093
0.050000,2.208171,5.654088,0.739348,0.916368,0.721743,0.336004,0.065069
0.050000,2.255750,5.656961,0.787014,0.953310,0.738846,0.342066,0.055352
0.050000,2.305245,5.659424,0.836570,0.991114,0.756070,0.344488,0.043822
0.050000,2.354457,5.661294,0.885817,0.984947,-0.123332,-17.588044,0.034591
0.050000,2.402201,5.662957,0.933591,0.955474,-0.589463,-9.322618,0.035077
0.050000,2.451166,5.664689,0.982586,0.979897,0.488462,21.558500,0.035631
0.050000,2.501348,5.666493,1.032800,1.004290,0.487855,-0.012138,0.036258
0.050000,2.552746,5.668375,1.084233,1.028652,0.487233,-0.012445,0.036961
0.050000,2.605358,5.670341,1.136882,1.052981,0.486595,-0.012752,0.037745
0.050000,2.659183,5.672397,1.190746,1.077278,0.485942,-0.013058,0.038615
0.050000,2.714218,5.674549,1.245823,1.101542,0.485274,-0.013363,0.039576
0.050000,2.770461,5.676806,1.302111,1.125772,0.484591,-0.013666,0.040632
0.050000,2.827911,5.679174,1.359610,1.149966,0.483893,-0.013969,0.041788
0.050000,2.886564,5.681663,1.418316,1.174125,0.483179,-0.014269,0.043050
0.050000,2.946419,5.684282,1.478228,1.198248,0.482451,-0.014567,0.044421
0.050000,3.007474,5.687041,1.539345,1.222333,0.481708,-0.014862,0.045909
0.050000,3.069725,5.689951,1.601664,1.246381,0.480950,-0.015154,0.047517
0.050000,3.131582,5.693014,1.663597,1.238665,-0.154319,-12.705369,0.051554
0.050000,3.195284,5.696442,1.727391,1.275870,0.744107,17.968520,0.056020
0.050000,3.260106,5.700231,1.792324,1.298664,0.455885,-5.764442,0.060783
0.050000,3.326043,5.704410,1.858393,1.321374,0.454198,-0.033742,0.065855
0.050000,3.393085,5.709012,1.925593,1.343999,0.452496,-0.034056,0.071248
0.050000,3.461224,5.714070,1.993919,1.366538,0.450781,-0.034281,0.076973
0.050000,3.530452,5.719619,2.063369,1.388991,0.449062,-0.034398,0.083044
0.050000,3.600757,5.725697,2.133937,1.411358,0.447342,-0.034391,0.089472
0.050000,3.672131,5.732343,2.205619,1.433640,0.445630,-0.034240,0.096269
0.050000,3.744560,5.739598,2.278411,1.455837,0.443934,-0.033921,0.103448
0.050000,3.816968,5.747388,2.351236,1.456512,0.013502,-8.608631,0.111665
0.050000,3.884778,5.755932,2.419582,1.366920,-1.791839,-36.106834,0.138344
0.050000,3.954726,5.766533,2.490330,1.414951,0.960615,55.049091,0.161774
0.050000,4.026884,5.779075,2.563570,1.464799,0.996974,0.727169,0.181697
0.050000,4.101330,5.793404,2.639382,1.516247,1.028963,0.639794,0.197890
0.050000,4.178154,5.809329,2.717839,1.569141,1.057881,0.578345,0.210149
0.050000,4.257462,5.826614,2.799009,1.623395,1.085074,0.543876,0.218282
0.050000,4.339378,5.844980,2.882958,1.678984,1.111785,0.534209,0.222101
0.050000,4.424042,5.864103,2.969755,1.735934,1.138991,0.544121,0.221415
0.050000,4.511612,5.883603,3.059470,1.794297,1.167258,0.565338,0.216025
0.050000,4.602257,5.903044,3.152176,1.854125,1.196566,0.586166,0.205724
0.050000,4.699415,5.921799,3.251128,1.979042,2.498340,26.035478,0.176579
0.050000,4.794140,5.937650,3.347170,1.920839,-1.164065,-73.248094,0.156529
0.050000,4.884398,5.951353,3.438463,1.825849,-1.899808,-14.714864,0.146337
0.050000,4.970193,5.963897,3.525169,1.734137,-1.834238,1.311397,0.145540
0.050000,5.051547,5.976098,3.607433,1.645274,-1.777245,1.139859,0.153734
0.050000,5.128477,5.988621,3.685376,1.558859,-1.728312,0.978663,0.170575
0.050000,5.200991,6.001993,3.759113,1.474739,-1.682386,0.918512,0.195739
0.050000,5.269098,6.016617,3.828772,1.393187,-1.631045,1.026828,0.228864
0.050000,5.332831,6.032780,3.894523,1.315004,-1.563656,1.347776,0.269476
0.050000,5.392273,6.050676,3.956600,1.241549,-1.469105,1.891026,0.316911
0.050000,5.447585,6.070422,4.015331,1.174626,-1.338462,2.612854,0.370250
0.050000,5.499018,6.092089,4.071142,1.116210,-1.168322,3.402792,0.428299
0.050000,5.563383,6.122342,4.142262,1.422407,6.123944,145.845329,0.437696
0.050000,5.633813,6.154896,4.219851,1.551784,2.587534,-70.728206,0.427516
0.050000,5.704922,6.186702,4.297749,1.557959,0.123503,-49.280609,0.412965
0.050000,5.776772,6.217414,4.375888,1.562776,0.096339,-0.543290,0.394233
0.050000,5.849401,6.246692,4.454197,1.566171,0.067893,-0.568910,0.371520
0.050000,5.922813,6.274206,4.532596,1.567978,0.036138,-0.635115,0.345049
0.050000,5.996971,6.299636,4.610992,1.567934,-0.000880,-0.740359,0.315081
0.050000,6.071788,6.322678,4.689277,1.565693,-0.044820,-0.878785,0.281923
0.050000,6.147123,6.343055,4.767320,1.560854,-0.096779,-1.039179,0.245942
0.050000,6.222782,6.360527,4.844970,1.553002,-0.157039,-1.205208,0.207561
0.050000,6.298518,6.374902,4.922058,1.541758,-0.224878,-1.356773,0.167258
0.050000,6.368958,6.385667,4.993315,1.425156,-2.332027,-42.142990,0.137720
0.050000,6.438195,6.394320,5.063091,1.395510,-0.592926,34.782016,0.110985
0.050000,6.506112,6.400997,5.131335,1.364891,-0.612388,-0.389225,0.085053
0.050000,6.572635,6.405828,5.198033,1.333956,-0.618686,-0.125971,0.059970
0.050000,6.637699,6.408943,5.263172,1.302784,-0.623456,-0.095395,0.035768
0.050000,6.701253,6.410474,5.326745,1.271444,-0.626785,-0.066579,0.012470
0.050000,6.763253,6.410552,5.388745,1.240005,-0.628788,-0.040069,6.273277
0.050000,6.823667,6.409303,5.449171,1.208525,-0.629599,-0.016207,6.251823
0.050000,6.882468,6.406852,5.508024,1.177057,-0.629361,0.004761,6.231292
0.050000,6.939642,6.403318,5.565306,1.145646,-0.628218,0.022845,6.211676
