dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.000063,5.572485,0.000621,0.024829,0.496573,9.931460,0.043584
0.050000,1.001363,5.572541,0.001922,0.026017,0.023757,-9.456311,0.043224
0.050000,1.004676,5.572683,0.005238,0.066324,0.806156,15.647968,0.042626
0.050000,1.009313,5.572879,0.009879,0.092821,0.529934,-5.524427,0.041794
0.050000,1.015272,5.573125,0.015843,0.119285,0.529274,-0.013216,0.040731
0.050000,1.022551,5.573417,0.023128,0.145706,0.528424,-0.016993,0.039445
0.050000,1.031149,5.573750,0.031732,0.172075,0.527384,-0.020806,0.037942
0.050000,1.041061,5.574118,0.041651,0.198383,0.526151,-0.024654,0.036231
0.050000,1.052285,5.574514,0.052882,0.224619,0.524727,-0.028480,0.034322
0.050000,1.064817,5.574931,0.065421,0.250775,0.523110,-0.032341,0.032227
0.050000,1.078652,5.575361,0.079263,0.276839,0.521299,-0.036219,0.029958
0.050000,1.093786,5.575796,0.094403,0.302804,0.519294,-0.040111,0.027529
0.050000,1.110213,5.576227,0.110836,0.328659,0.517093,-0.044015,0.024956
0.050000,1.127928,5.576645,0.128556,0.354394,0.514697,-0.047924,0.022255
0.050000,1.146924,5.577041,0.147556,0.379999,0.512104,-0.051848,0.019445
0.050000,1.167194,5.577406,0.167829,0.405465,0.509315,-0.055774,0.016546
0.050000,1.188730,5.577730,0.189368,0.430781,0.506331,-0.059684,0.013578
0.050000,1.211526,5.578005,0.212165,0.455939,0.503152,-0.063584,0.010563
0.050000,1.235571,5.578222,0.236211,0.480928,0.499777,-0.067502,0.007527
0.050000,1.260857,5.578374,0.261498,0.505738,0.496209,-0.071366,0.004492
0.050000,1.287375,5.578453,0.288016,0.530360,0.492447,-0.075237,0.001487
0.050000,1.315115,5.578453,0.315755,0.554785,0.488493,-0.079074,6.281724
0.050000,1.344065,5.578368,0.344706,0.579002,0.484348,-0.082895,6.278861
0.050000,1.374214,5.578196,0.374856,0.603003,0.480014,-0.086693,6.276115
0.050000,1.405552,5.577933,0.406195,0.626778,0.475490,-0.090475,6.273518
0.050000,1.438066,5.577579,0.438710,0.650317,0.470778,-0.094240,6.271101
0.050000,1.471744,5.577134,0.472391,0.673610,0.465878,-0.098002,6.268900
0.050000,1.506572,5.576601,0.507223,0.696650,0.460790,-0.101763,6.266951
0.050000,1.542538,5.575986,0.543195,0.719426,0.455513,-0.105534,6.265291
0.050000,1.579628,5.575297,0.580291,0.741928,0.450047,-0.109324,6.263957
0.050000,1.617828,5.574542,0.618498,0.764147,0.444390,-0.113144,6.262991
0.050000,1.657123,5.573736,0.657802,0.786074,0.438540,-0.117001,6.262432
0.050000,1.697499,5.572894,0.698187,0.807699,0.432494,-0.120904,6.262324
0.050000,1.738941,5.572036,0.739638,0.829012,0.426252,-0.124853,6.262711
0.050000,1.781433,5.571184,0.782138,0.850002,0.419809,-0.128844,6.263637
0.050000,1.824958,5.570364,0.825671,0.870660,0.413166,-0.132866,6.265149
0.050000,1.869500,5.569606,0.870220,0.890977,0.406321,-0.136894,6.267296
0.050000,1.915043,5.568944,0.915767,0.910940,0.399277,-0.140880,6.270127
0.050000,1.961567,5.568417,0.962294,0.930542,0.392038,-0.144779,6.273693
0.050000,2.009054,5.568066,1.009782,0.949773,0.384614,-0.148485,6.278046
0.050000,2.057485,5.567940,1.058214,0.968624,0.377020,-0.151894,0.000054
0.050000,2.106839,5.568090,1.107568,0.987088,0.369277,-0.154841,0.006142
0.050000,2.157095,5.568572,1.157826,1.005159,0.361421,-0.157127,0.013181
0.050000,2.208229,5.569448,1.208968,1.022834,0.353496,-0.158495,0.021225
0.050000,2.260218,5.570784,1.260973,1.040112,0.345564,-0.158646,0.030330
0.050000,2.309920,5.572526,1.310706,0.994656,-0.909117,-25.093615,0.048374
0.050000,2.303462,5.571633,1.317225,0.130383,-17.285465,-327.526966,0.229066
0.050000,2.302373,5.571428,1.318333,0.022164,-2.164384,302.421619,0.397986
0.050000,2.313275,5.577149,1.330645,0.246237,4.481468,132.917048,0.532659
0.050000,2.337475,5.593226,1.359698,0.581062,6.696497,44.300577,0.623740
0.050000,2.373973,5.621106,1.405627,0.918579,6.750339,1.076834,0.670869
0.050000,2.409946,5.650868,1.452316,0.933767,0.303771,-128.931360,0.718341
0.050000,2.442203,5.680764,1.496296,0.879606,-1.083233,-27.740072,0.777926
0.050000,2.471697,5.711773,1.539092,0.855918,-0.473753,12.189594,0.844329
0.050000,2.498314,5.743976,1.580871,0.835582,-0.406731,1.340436,0.917079
0.050000,2.522049,5.777567,1.622001,0.822599,-0.259646,2.941703,0.995141
0.050000,2.536296,5.801337,1.649714,0.554266,-5.366656,-102.140204,1.113173
0.050000,2.545010,5.823159,1.673211,0.469933,-1.686675,73.599622,1.247786
0.050000,2.555712,5.861693,1.713204,0.799865,6.598651,165.706524,1.337351
0.050000,2.567454,5.917239,1.769978,1.135474,6.712167,2.270322,1.377592
0.050000,2.581301,5.988134,1.842212,1.444688,6.184288,-10.557592,1.370875
0.050000,2.600486,6.072863,1.929086,1.737469,5.855624,-6.573276,1.319472
0.050000,2.624692,6.155337,2.015039,1.719063,-0.368130,-124.475075,1.265791
0.050000,2.644392,6.218126,2.080845,1.316129,-8.058668,-153.810770,1.266677
0.050000,2.664534,6.281812,2.147641,1.335922,0.395862,169.090605,1.261289
0.050000,2.685478,6.346152,2.215304,1.353249,0.346538,-0.986479,1.249972
0.050000,2.707570,6.410895,2.283712,1.368164,0.298302,-0.964724,1.233066
0.050000,2.731136,6.475777,2.352742,1.380596,0.248643,-0.993164,1.210919
0.050000,2.756469,6.540513,2.422258,1.390327,0.194607,-1.080728,1.183911
0.050000,2.783815,6.604787,2.492108,1.396991,0.133291,-1.226320,1.152472
0.050000,2.799703,6.640531,2.531224,0.782318,-12.293466,-248.535145,1.202491
0.050000,2.806974,6.662650,2.554507,0.465657,-6.333221,119.204910,1.295008
0.050000,2.814279,6.692695,2.585427,0.618399,3.054833,187.761069,1.362564
0.050000,2.821319,6.730498,2.623880,0.769073,3.013487,-0.826911,1.405451
0.050000,2.828251,6.775360,2.669274,0.907883,2.776207,-4.745609,1.425335
0.050000,2.835692,6.826517,2.720969,1.033902,2.520367,-5.116802,1.424011
0.050000,2.844615,6.883290,2.778440,1.149405,2.310061,-4.206109,1.402953
0.050000,2.856255,6.945010,2.841247,1.256151,2.134919,-3.502835,1.363385
0.050000,2.871991,7.010813,2.908906,1.353167,1.940315,-3.892090,1.306671
0.050000,2.893149,7.079406,2.980688,1.435656,1.649783,-5.810632,1.234850
0.050000,2.916105,7.139028,3.044577,1.277773,-3.157648,-96.148618,1.179160
0.050000,2.938357,7.190396,3.100557,1.119609,-3.163280,-0.112645,1.144830
0.050000,2.961663,7.239560,3.154965,1.088158,-0.629030,50.684990,1.111433
0.050000,2.985828,7.286486,3.207748,1.055660,-0.649953,-0.418446,1.079115
0.050000,3.010658,7.331165,3.258863,1.022296,-0.667289,-0.346727,1.047997
0.050000,3.035967,7.373604,3.308276,0.988250,-0.680910,-0.272430,1.018176
0.050000,3.061574,7.413830,3.355961,0.953706,-0.690874,-0.199272,0.989722
0.050000,3.087311,7.451886,3.401903,0.918838,-0.697379,-0.130098,0.962680
0.050000,3.113021,7.487827,3.446093,0.883799,-0.700776,-0.067941,0.937074
0.050000,3.138562,7.521717,3.488529,0.848727,-0.701432,-0.013111,0.912909
0.050000,3.163806,7.553626,3.529216,0.813738,-0.699787,0.032900,0.890173
0.050000,3.188636,7.583630,3.568162,0.778925,-0.696252,0.070686,0.868841
0.050000,3.212952,7.611807,3.605380,0.744363,-0.691239,0.100262,0.848878
0.050000,3.236663,7.638234,3.640886,0.710108,-0.685114,0.122509,0.830241
0.050000,3.259691,7.662990,3.674696,0.676198,-0.678196,0.138345,0.812881
0.050000,3.281968,7.686147,3.706829,0.642659,-0.670771,0.148515,0.796746
0.050000,3.303434,7.707779,3.737304,0.609506,-0.663063,0.154162,0.781781
0.050000,3.324039,7.727953,3.766141,0.576743,-0.655258,0.156098,0.767933
0.050000,3.343740,7.746735,3.793360,0.544367,-0.647517,0.154809,0.755146
0.050000,3.362498,7.764183,3.818978,0.512370,-0.639948,0.151390,0.743366
0.050000,3.380282,7.780354,3.843015,0.480738,-0.632645,0.146050,0.732544
0.050000,3.397064,7.795300,3.865488,0.449454,-0.625673,0.139446,0.722629
0.050000,3.412822,7.809067,3.886413,0.418500,-0.619082,0.131825,0.713576
0.050000,3.427536,7.821700,3.905805,0.387855,-0.612897,0.123688,0.705340
0.050000,3.441189,7.833237,3.923680,0.357497,-0.607155,0.114851,0.697882
0.050000,3.453767,7.843714,3.940050,0.327405,-0.601849,0.106123,0.691164
0.050000,3.465259,7.853163,3.954928,0.297555,-0.597000,0.096969,0.685152
0.050000,3.475655,7.861612,3.968324,0.267925,-0.592602,0.087962,0.679815
0.050000,3.484946,7.869087,3.980249,0.238492,-0.588661,0.078817,0.675126
0.050000,3.493126,7.875609,3.990711,0.209234,-0.585154,0.070146,0.671059
0.050000,3.500189,7.881197,3.999717,0.180129,-0.582097,0.061137,0.667594
0.050000,3.506131,7.885867,4.007275,0.151155,-0.579482,0.052294,0.664711
0.050000,3.510948,7.889633,4.013389,0.122291,-0.577282,0.043998,0.662396
0.050000,3.514638,7.892506,4.018065,0.093515,-0.575517,0.035303,0.660636
0.050000,3.517197,7.894492,4.021306,0.064807,-0.574168,0.026977,0.659422
0.050000,3.518626,7.895599,4.023113,0.036145,-0.573241,0.018547,0.658746
0.050000,3.519058,7.895933,4.023658,0.010912,-0.504658,1.371655,0.658543
0.050000,3.519058,7.895933,4.023658,0.000000,-0.218233,5.728512,0.658543
0.050000,3.519058,7.895933,4.023658,0.000000,0.000000,4.364656,0.658543
