dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.397919,5.661060,0.000620,0.024800,0.496000,9.920000,0.000000
0.050000,1.399590,5.661060,0.002291,0.033423,0.172463,-6.470741,0.000000
0.050000,1.402690,5.661060,0.005391,0.062000,0.571537,7.981483,0.000000
0.050000,1.407030,5.661060,0.009731,0.086800,0.496000,-1.510741,0.000000
0.050000,1.412610,5.661060,0.015311,0.111600,0.496000,0.000000,0.000000
0.050000,1.419430,5.661060,0.022131,0.136400,0.496000,0.000000,0.000000
0.050000,1.427490,5.661060,0.030191,0.161200,0.496000,-0.000000,0.000000
0.050000,1.436790,5.661060,0.039491,0.186000,0.496000,0.000000,0.000000
0.050000,1.447330,5.661060,0.050031,0.210800,0.496000,-0.000000,0.000000
0.050000,1.459110,5.661060,0.061811,0.235600,0.496000,0.000000,0.000000
0.050000,1.472130,5.661060,0.074831,0.260400,0.496000,0.000000,0.000000
0.050000,1.486390,5.661060,0.089091,0.285200,0.496000,-0.000000,0.000000
0.050000,1.501890,5.661060,0.104591,0.310000,0.496000,0.000000,0.000000
0.050000,1.518630,5.661060,0.121331,0.334800,0.496000,-0.000000,0.000000
0.050000,1.536610,5.661060,0.139311,0.359600,0.496000,0.000000,0.000000
0.050000,1.555830,5.661060,0.158531,0.384400,0.496000,0.000000,0.000000
0.050000,1.576290,5.661060,0.178991,0.409200,0.496000,0.000000,0.000000
0.050000,1.597990,5.661060,0.200691,0.434000,0.496000,-0.000000,0.000000
0.050000,1.620930,5.661060,0.223631,0.458800,0.496000,0.000000,0.000000
0.050000,1.645110,5.661060,0.247811,0.483600,0.496000,0.000000,0.000000
0.050000,1.670530,5.661060,0.273231,0.508400,0.496000,-0.000000,0.000000
0.050000,1.697190,5.661060,0.299891,0.533200,0.496000,0.000000,0.000000
0.050000,1.725090,5.661060,0.327791,0.558000,0.496000,0.000000,0.000000
0.050000,1.754230,5.661060,0.356931,0.582800,0.496000,-0.000000,0.000000
0.050000,1.784610,5.661060,0.387311,0.607600,0.496000,0.000000,0.000000
0.050000,1.816230,5.661060,0.418931,0.632400,0.496000,0.000000,0.000000
0.050000,1.849090,5.661060,0.451791,0.657200,0.496000,-0.000000,0.000000
0.050000,1.883190,5.661060,0.485891,0.682000,0.496000,0.000000,0.000000
0.050000,1.918530,5.661060,0.521231,0.706800,0.496000,-0.000000,0.000000
0.050000,1.955110,5.661060,0.557811,0.731600,0.496000,0.000000,0.000000
0.050000,1.992930,5.661060,0.595631,0.756400,0.496000,-0.000000,0.000000
0.050000,2.031990,5.661060,0.634691,0.781200,0.496000,-0.000000,0.000000
0.050000,2.072290,5.661060,0.674991,0.806000,0.496000,0.000000,0.000000
0.050000,2.113830,5.661060,0.716531,0.830800,0.496000,-0.000000,0.000000
0.050000,2.156610,5.661060,0.759311,0.855600,0.496000,0.000000,0.000000
0.050000,2.200630,5.661060,0.803331,0.880400,0.496000,-0.000000,0.000000
0.050000,2.242591,5.661177,0.845292,0.839219,-0.823610,-26.392201,0.006462
0.050000,2.286531,5.661622,0.889235,0.878849,0.792588,32.323971,0.013654
0.050000,2.331920,5.662395,0.934630,0.907907,0.581165,-4.228465,0.020248
0.050000,2.378778,5.663486,0.981501,0.937421,0.590269,0.182069,0.026178
0.050000,2.427128,5.664882,1.029871,0.967397,0.599534,0.185302,0.031381
0.050000,2.476992,5.666561,1.079763,0.997846,0.608969,0.188699,0.035789
0.050000,2.528394,5.668497,1.131202,1.028775,0.618586,0.192338,0.039336
0.050000,2.581360,5.670655,1.184212,1.060195,0.628400,0.196290,0.041952
0.050000,2.635915,5.672995,1.238817,1.092117,0.638430,0.200587,0.043567
0.050000,2.692089,5.675464,1.295045,1.124551,0.648691,0.205235,0.044108
0.050000,2.749909,5.678004,1.352921,1.157511,0.659200,0.210182,0.043502
0.050000,2.809405,5.680545,1.412471,1.191009,0.669966,0.215312,0.041673
0.050000,2.870608,5.683008,1.473724,1.225059,0.680987,0.220423,0.038543
0.050000,2.933550,5.685300,1.536708,1.259671,0.692248,0.225212,0.034033
0.050000,2.998261,5.687317,1.601450,1.294857,0.703710,0.229243,0.028063
0.050000,3.064773,5.688941,1.667981,1.330622,0.715306,0.231923,0.020551
0.050000,3.133112,5.690042,1.736330,1.366968,0.726930,0.232487,0.011415
0.050000,3.203305,5.690471,1.806524,1.403890,0.738428,0.229957,0.000575
0.050000,3.269324,5.690552,1.872543,1.320382,-1.670162,-48.171813,0.002565
0.050000,3.337155,5.690821,1.940374,1.356613,0.724627,47.895784,0.005347
0.050000,3.406206,5.691288,2.009427,1.381057,0.488887,-4.714787,0.008179
0.050000,3.476478,5.691964,2.079702,1.405502,0.488898,0.000218,0.011061
0.050000,3.547970,5.692859,2.151200,1.429948,0.488910,0.000240,0.013993
0.050000,3.620681,5.693985,2.223919,1.454394,0.488923,0.000262,0.016975
0.050000,3.694610,5.695353,2.297861,1.478841,0.488938,0.000285,0.020006
0.050000,3.769757,5.696972,2.373026,1.503289,0.488953,0.000309,0.023087
0.050000,3.846121,5.698855,2.449413,1.527737,0.488970,0.000334,0.026217
