dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.015569,5.587528,0.000623,0.024905,0.498101,9.962019,0.000033
0.050000,2.017150,5.587528,0.002204,0.031636,0.134611,-7.269804,6.283043
0.050000,2.020367,5.587527,0.005421,0.064322,0.653734,10.382464,6.282754
0.050000,2.024868,5.587525,0.009922,0.090029,0.514132,-2.792029,6.282351
0.050000,2.030654,5.587518,0.015708,0.115713,0.513687,-0.008919,6.281839
0.050000,2.037722,5.587507,0.022776,0.141369,0.513113,-0.011466,6.281222
0.050000,2.046072,5.587487,0.031126,0.166989,0.512412,-0.014020,6.280504
0.050000,2.055700,5.587457,0.040754,0.192569,0.511583,-0.016575,6.279691
0.050000,2.066605,5.587414,0.051659,0.218100,0.510627,-0.019126,6.278790
0.050000,2.078784,5.587355,0.063838,0.243577,0.509543,-0.021685,6.277809
0.050000,2.092233,5.587275,0.077288,0.268994,0.508331,-0.024243,6.276756
0.050000,2.106950,5.587173,0.092005,0.294343,0.506991,-0.026802,6.275640
0.050000,2.122930,5.587043,0.107986,0.319619,0.505523,-0.029360,6.274472
0.050000,2.140170,5.586882,0.125226,0.344816,0.503927,-0.031920,6.273263
0.050000,2.158666,5.586687,0.143723,0.369926,0.502203,-0.034479,6.272025
0.050000,2.178411,5.586454,0.163470,0.394943,0.500351,-0.037038,6.270772
0.050000,2.199403,5.586180,0.184463,0.419862,0.498371,-0.039594,6.269516
0.050000,2.221634,5.585862,0.206697,0.444675,0.496264,-0.042150,6.268274
0.050000,2.245100,5.585498,0.230166,0.469377,0.494028,-0.044703,6.267060
0.050000,2.269795,5.585085,0.254864,0.493960,0.491666,-0.047254,6.265891
0.050000,2.295712,5.584622,0.280785,0.518419,0.489176,-0.049803,6.264785
0.050000,2.322844,5.584109,0.307922,0.542747,0.486558,-0.052351,6.263761
0.050000,2.351185,5.583544,0.336269,0.566937,0.483813,-0.054897,6.262836
0.050000,2.380728,5.582931,0.365818,0.590984,0.480941,-0.057443,6.262033
0.050000,2.411465,5.582270,0.396562,0.614881,0.477942,-0.059990,6.261371
0.050000,2.443388,5.581565,0.428493,0.638622,0.474815,-0.062540,6.260873
0.050000,2.476490,5.580821,0.461603,0.662200,0.471560,-0.065092,6.260561
0.050000,2.510762,5.580043,0.495884,0.685609,0.468178,-0.067649,6.260460
0.050000,2.546195,5.579239,0.531326,0.708842,0.464667,-0.070210,6.260593
0.050000,2.582780,5.578419,0.567920,0.731894,0.461028,-0.072775,6.260988
0.050000,2.620509,5.577593,0.605658,0.754757,0.457261,-0.075344,6.261669
0.050000,2.659372,5.576775,0.644529,0.777425,0.453365,-0.077913,6.262665
0.050000,2.699358,5.575980,0.684524,0.799892,0.449342,-0.080478,6.264004
0.050000,2.740459,5.575226,0.725632,0.822152,0.445190,-0.083031,6.265715
0.050000,2.782663,5.574532,0.767841,0.844197,0.440912,-0.085559,6.267828
0.050000,2.825960,5.573921,0.811143,0.866023,0.436510,-0.088048,6.270374
0.050000,2.870338,5.573417,0.855524,0.887622,0.431986,-0.090474,6.273385
0.050000,2.915786,5.573050,0.900973,0.908989,0.427345,-0.092810,6.276893
0.050000,2.962292,5.572849,0.947479,0.930119,0.422595,-0.095016,6.280932
0.050000,3.009479,5.572839,0.994666,0.943738,0.272386,-3.004178,0.001466
0.050000,3.058599,5.572998,1.043787,0.982423,0.773686,10.026015,0.005154
0.050000,3.108640,5.573368,1.093829,1.000831,0.368170,-8.110328,0.009756
0.050000,3.159576,5.574003,1.144769,1.018804,0.359451,-0.174374,0.015332
0.050000,3.211383,5.574964,1.196585,1.036330,0.350531,-0.178411,0.021946
0.050000,3.264036,5.576319,1.249256,1.053403,0.341446,-0.181688,0.029661
0.050000,3.317506,5.578138,1.302756,1.070015,0.332255,-0.183839,0.038542
0.050000,3.371763,5.580500,1.357065,1.086167,0.323034,-0.184405,0.048654
0.050000,3.426775,5.583488,1.412158,1.101862,0.313893,-0.182829,0.060060
0.050000,3.482508,5.587191,1.468013,1.117110,0.304971,-0.178432,0.072824
0.050000,3.538924,5.591703,1.524610,1.131933,0.296450,-0.170432,0.087005
0.050000,3.595985,5.597124,1.581928,1.146360,0.288553,-0.157939,0.102660
0.050000,3.656861,5.603746,1.643162,1.224689,1.566571,25.560374,0.108925
0.050000,3.722416,5.610849,1.709102,1.318790,1.882032,6.309222,0.107340
0.050000,3.788334,5.617967,1.775403,1.326014,0.144461,-34.751427,0.108241
0.050000,3.854544,5.625265,1.842013,1.332219,0.124105,-0.407118,0.111771
0.050000,3.920973,5.632918,1.908882,1.337377,0.103172,-0.418660,0.118077
0.050000,3.987544,5.641110,1.975956,1.341468,0.081814,-0.427169,0.127310
0.050000,4.054173,5.650038,2.043180,1.344487,0.060382,-0.428633,0.139619
0.050000,4.120769,5.659906,2.110503,1.346462,0.039494,-0.417754,0.155152
0.050000,4.186648,5.670824,2.177281,1.335548,-0.218274,-5.155366,0.173862
0.050000,4.250659,5.682760,2.242395,1.302290,-0.665155,-8.937626,0.195390
0.050000,4.326284,5.697088,2.319365,1.539399,4.742175,108.146607,0.178540
0.050000,4.397232,5.709621,2.391412,1.440936,-1.969268,-134.228864,0.173573
0.050000,4.461790,5.721179,2.456997,1.311693,-2.584852,-12.311686,0.183276
0.050000,4.520051,5.732612,2.516368,1.187437,-2.485131,1.994433,0.206945
0.050000,4.572114,5.744473,2.569765,1.067940,-2.389943,1.903759,0.243910
0.050000,4.618143,5.757071,2.617487,0.954441,-2.269962,2.399608,0.293327
0.050000,4.658456,5.770528,2.659987,0.849990,-2.089034,3.618574,0.353924
0.050000,4.693600,5.784874,2.697946,0.759185,-1.816103,5.458601,0.423783
0.050000,4.734275,5.804593,2.743149,0.904052,2.897353,94.269124,0.468781
0.050000,4.778201,5.827705,2.792785,0.992717,1.773305,-22.480948,0.498817
0.050000,4.822275,5.852436,2.843323,1.010760,0.360845,-28.249203,0.522816
0.050000,4.866507,5.878497,2.894661,1.026775,0.320306,-0.810776,0.541063
0.050000,4.910915,5.905596,2.946685,1.040463,0.273760,-0.930918,0.553884
0.050000,4.955520,5.933448,2.999272,1.051742,0.225570,-0.963804,0.561618
0.050000,5.005932,5.964833,3.058655,1.187660,2.718358,49.855758,0.544786
0.050000,5.058951,5.996044,3.120178,1.230470,0.856218,-37.242811,0.520382
0.050000,5.109156,6.024224,3.177751,1.151461,-1.580186,-48.728075,0.503588
0.050000,5.156428,6.049939,3.231565,1.076269,-1.503836,1.527006,0.493866
0.050000,5.200713,6.073661,3.281803,1.004777,-1.429845,1.479807,0.490695
0.050000,5.242003,6.095772,3.328640,0.936739,-1.360754,1.381838,0.493588
0.050000,5.280317,6.116571,3.372236,0.871906,-1.296664,1.281782,0.502096
0.050000,5.315698,6.136289,3.412740,0.810095,-1.236231,1.208660,0.515792
0.050000,5.348209,6.155100,3.450302,0.751227,-1.177345,1.177722,0.534263
0.050000,5.377937,6.173130,3.485069,0.695345,-1.117638,1.194142,0.557090
0.050000,5.404987,6.190467,3.517199,0.642601,-1.054896,1.254838,0.583829
0.050000,5.429494,6.207178,3.546861,0.593230,-0.987403,1.349858,0.614009
0.050000,5.451612,6.223309,3.574237,0.547518,-0.914257,1.462932,0.647114
0.050000,5.471520,6.238901,3.599523,0.505739,-0.835577,1.573595,0.682591
0.050000,5.489408,6.253995,3.622929,0.468108,-0.752608,1.659384,0.719857
0.050000,5.505478,6.268632,3.644665,0.434728,-0.667608,1.699996,0.758316
0.050000,5.525215,6.287663,3.672084,0.548365,2.272748,58.807126,0.775697
0.050000,5.543676,6.306109,3.698180,0.521934,-0.528634,-56.027637,0.794893
0.050000,5.560353,6.323462,3.722249,0.481366,-0.811350,-5.654325,0.816290
0.050000,5.575322,6.339753,3.744373,0.442483,-0.777661,0.673785,0.839653
0.050000,5.588672,6.355007,3.764643,0.405401,-0.741649,0.720235,0.864728
0.050000,5.600500,6.369248,3.783155,0.370250,-0.703006,0.772858,0.891243
0.050000,5.610916,6.382503,3.800013,0.337164,-0.661725,0.825629,0.918909
0.050000,5.620035,6.394804,3.815326,0.306255,-0.618174,0.871012,0.947419
0.050000,5.627977,6.406188,3.829206,0.277604,-0.573024,0.902989,0.976456
0.050000,5.634861,6.416696,3.841769,0.251244,-0.527206,0.916368,1.005697
0.050000,5.640805,6.426374,3.853126,0.227153,-0.481813,0.907861,1.034824
0.050000,5.645920,6.435271,3.863389,0.205254,-0.437986,0.876535,1.063529
0.050000,5.650312,6.443436,3.872660,0.185414,-0.396798,0.823756,1.091522
0.050000,5.654073,6.450917,3.881032,0.167456,-0.359151,0.752942,1.118537
0.050000,5.657289,6.457757,3.888591,0.151171,-0.325701,0.669001,1.144341
0.050000,5.660033,6.463997,3.895408,0.136330,-0.296828,0.577465,1.168730
0.050000,5.662370,6.469669,3.901542,0.122698,-0.272631,0.483951,1.191534
0.050000,5.664353,6.474802,3.907045,0.110051,-0.252956,0.393483,1.212615
0.050000,5.666030,6.479415,3.911954,0.098177,-0.237475,0.309637,1.231863
0.050000,5.667439,6.483525,3.916298,0.086892,-0.225697,0.235560,1.249197
0.050000,5.668613,6.487141,3.920100,0.076038,-0.217086,0.172217,1.264555
0.050000,5.669579,6.490270,3.923375,0.065485,-0.211046,0.120802,1.277894
0.050000,5.670360,6.492913,3.926131,0.055133,-0.207040,0.080102,1.289188
0.050000,5.670974,6.495073,3.928377,0.044906,-0.204545,0.049914,1.298418
0.050000,5.671436,6.496748,3.930114,0.034751,-0.203113,0.028645,1.305573
0.050000,5.671755,6.497937,3.931346,0.024631,-0.202390,0.014460,1.310650
0.050000,5.671941,6.498640,3.932072,0.014528,-0.202064,0.006509,1.313646
0.050000,5.672001,6.498869,3.932309,0.004739,-0.195774,0.125805,1.314623
0.050000,5.672001,6.498869,3.932309,0.000000,-0.094785,2.019783,1.314623
0.050000,5.672001,6.498869,3.932309,0.000000,0.000000,1.895694,1.314623
