dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.015580,5.231928,0.000623,0.024905,0.498101,9.962019,0.000033
0.050000,2.017100,5.231928,0.002491,0.049810,0.498101,0.000000,6.283043
0.050000,2.020213,5.231927,0.005604,0.074715,0.498101,0.000000,6.282754
0.050000,2.024571,5.231925,0.009962,0.099620,0.498101,-0.000000,6.282351
0.050000,2.030175,5.231919,0.015566,0.124525,0.498101,0.000000,6.281839
0.050000,2.037024,5.231907,0.022415,0.149430,0.498101,0.000000,6.281222
0.050000,2.045118,5.231888,0.030509,0.174335,0.498101,0.000000,6.280504
0.050000,2.054457,5.231860,0.039848,0.199240,0.498101,-0.000000,6.279691
0.050000,2.065042,5.231818,0.050433,0.224145,0.498101,0.000000,6.278790
0.050000,2.076872,5.231760,0.062263,0.249050,0.498101,0.000000,6.277809
0.050000,2.089947,5.231683,0.075338,0.273956,0.498101,-0.000000,6.276756
0.050000,2.104267,5.231583,0.089658,0.298861,0.498101,0.000000,6.275640
0.050000,2.119832,5.231456,0.105224,0.323766,0.498101,-0.000000,6.274472
0.050000,2.136642,5.231299,0.122035,0.348671,0.498101,0.000000,6.273263
0.050000,2.154697,5.231109,0.140091,0.373576,0.498101,-0.000000,6.272025
0.050000,2.173997,5.230881,0.159392,0.398481,0.498101,0.000000,6.270772
0.050000,2.194542,5.230613,0.179939,0.423386,0.498101,0.000000,6.269516
0.050000,2.216332,5.230302,0.201731,0.448291,0.498101,-0.000000,6.268274
0.050000,2.239366,5.229944,0.224768,0.473196,0.498101,0.000000,6.267060
0.050000,2.263645,5.229538,0.249050,0.498101,0.498101,0.000000,6.265891
0.050000,2.289169,5.229082,0.274578,0.523006,0.498101,-0.000000,6.264785
0.050000,2.315937,5.228576,0.301351,0.547911,0.498101,0.000000,6.263761
0.050000,2.343950,5.228018,0.329369,0.572816,0.498101,0.000000,6.262836
0.050000,2.373207,5.227411,0.358633,0.597721,0.498101,-0.000000,6.262033
0.050000,2.403708,5.226755,0.389141,0.622626,0.498101,0.000000,6.261371
0.050000,2.435455,5.226054,0.420895,0.647531,0.498101,0.000000,6.260873
0.050000,2.468445,5.225312,0.453894,0.672436,0.498101,0.000000,6.260561
0.050000,2.502681,5.224535,0.488139,0.697341,0.498101,-0.000000,6.260460
0.050000,2.538162,5.223730,0.523629,0.722246,0.498101,0.000000,6.260593
0.050000,2.574887,5.222906,0.560364,0.747151,0.498101,0.000000,6.260988
0.050000,2.612858,5.222075,0.598344,0.772056,0.498101,0.000000,6.261669
0.050000,2.652075,5.221250,0.637569,0.796961,0.498101,-0.000000,6.262665
0.050000,2.692538,5.220446,0.678040,0.821867,0.498101,0.000000,6.264004
0.050000,2.734247,5.219680,0.719756,0.846772,0.498101,-0.000000,6.265715
0.050000,2.777202,5.218974,0.762717,0.871677,0.498101,0.000000,6.267828
0.050000,2.821404,5.218350,0.806923,0.896582,0.498101,0.000000,6.270374
0.050000,2.866853,5.217834,0.852375,0.921487,0.498101,0.000000,6.273385
0.050000,2.913548,5.217457,0.899072,0.946392,0.498101,-0.000000,6.276893
0.050000,2.961490,5.217250,0.947014,0.971297,0.498101,0.000000,6.280932
0.050000,3.010000,5.217239,0.996202,0.996202,0.498101,-0.000000,0.001466
0.050000,3.060432,5.217403,1.046635,1.021107,0.498101,0.000000,0.005154
0.050000,3.112109,5.217785,1.098313,1.046012,0.498101,-0.000000,0.009756
0.050000,3.165028,5.218445,1.151236,1.070917,0.498101,0.000000,0.015332
0.050000,3.219187,5.219450,1.205404,1.095822,0.498101,-0.000000,0.021946
0.050000,3.274582,5.220875,1.260818,1.120727,0.498101,0.000000,0.029661
0.050000,3.331208,5.222802,1.317477,1.145632,0.498101,0.000000,0.038542
0.050000,3.389057,5.225321,1.375381,1.170537,0.498101,-0.000000,0.048654
0.050000,3.448119,5.228529,1.434531,1.195442,0.498101,0.000000,0.060060
0.050000,3.508381,5.232533,1.494925,1.220347,0.498101,-0.000000,0.072824
0.050000,3.569824,5.237448,1.556565,1.245252,0.498101,0.000000,0.087005
