dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.015592,4.876328,0.000623,0.024905,0.498101,9.962019,0.000033
0.050000,2.017049,4.876328,0.002080,0.029151,0.084924,-8.263537,6.283043
0.050000,2.020060,4.876328,0.005090,0.060203,0.621034,10.722200,6.282754
0.050000,2.024275,4.876325,0.009306,0.084306,0.482069,-2.779292,6.282351
0.050000,2.029697,4.876319,0.014727,0.108432,0.482515,0.008916,6.281839
0.050000,2.036326,4.876308,0.021357,0.132587,0.483089,0.011469,6.281222
0.050000,2.044165,4.876290,0.029195,0.156776,0.483790,0.014019,6.280504
0.050000,2.053215,4.876262,0.038246,0.181007,0.484618,0.016571,6.279691
0.050000,2.063479,4.876221,0.048510,0.205286,0.485575,0.019130,6.278790
0.050000,2.074960,4.876165,0.059991,0.229619,0.486659,0.021684,6.277809
0.050000,2.087660,4.876090,0.072692,0.254012,0.487871,0.024242,6.276756
0.050000,2.101584,4.875993,0.086615,0.278473,0.489211,0.026801,6.275640
0.050000,2.116733,4.875870,0.101766,0.303007,0.490679,0.029361,6.274472
0.050000,2.133114,4.875717,0.118147,0.327620,0.492275,0.031920,6.273263
0.050000,2.150729,4.875531,0.135763,0.352320,0.493999,0.034480,6.272025
0.050000,2.169583,4.875309,0.154618,0.377113,0.495851,0.037038,6.270772
0.050000,2.189682,4.875046,0.174718,0.402005,0.497831,0.039595,6.269516
0.050000,2.211030,4.874741,0.196069,0.427001,0.499938,0.042150,6.268274
0.050000,2.233632,4.874390,0.218674,0.452110,0.502173,0.044703,6.267060
0.050000,2.257496,4.873991,0.242541,0.477337,0.504536,0.047254,6.265891
0.050000,2.282626,4.873542,0.267675,0.502688,0.507026,0.049804,6.264785
0.050000,2.309030,4.873043,0.294084,0.528170,0.509644,0.052351,6.263761
0.050000,2.336714,4.872492,0.321773,0.553790,0.512389,0.054898,6.262836
0.050000,2.365685,4.871890,0.350751,0.579553,0.515261,0.057444,6.262033
0.050000,2.395952,4.871239,0.381024,0.605466,0.518260,0.059991,6.261371
0.050000,2.427521,4.870542,0.412601,0.631535,0.521387,0.062540,6.260873
0.050000,2.460401,4.869803,0.445489,0.657767,0.524642,0.065092,6.260561
0.050000,2.494601,4.869026,0.479698,0.684169,0.528024,0.067647,6.260460
0.050000,2.530129,4.868221,0.515235,0.710745,0.531535,0.070208,6.260593
0.050000,2.566995,4.867394,0.552110,0.737504,0.535173,0.072772,6.260988
