dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.193616,2.981875,0.002447,0.048947,0.489474,4.894737,6.282783
0.100000,0.200958,2.981865,0.009789,0.097895,0.489474,0.000000,6.280967
0.100000,0.213195,2.981820,0.022026,0.146842,0.489474,0.000000,6.278010
0.100000,0.230326,2.981697,0.039158,0.195789,0.489474,0.000000,6.274020
0.100000,0.252351,2.981441,0.061184,0.244737,0.489474,0.000000,6.269145
0.100000,0.279268,2.980987,0.088105,0.293684,0.489474,-0.000000,6.263580
0.100000,0.311075,2.980266,0.119921,0.342632,0.489474,0.000000,6.257560
0.100000,0.347771,2.979209,0.156632,0.391579,0.489474,0.000000,6.251365
0.100000,0.389350,2.977756,0.198237,0.440526,0.489474,0.000000,6.245318
0.100000,0.435812,2.975862,0.244737,0.489474,0.489474,-0.000000,6.239787
0.100000,0.487153,2.973507,0.296132,0.538421,0.489474,0.000000,6.235180
0.100000,0.543372,2.970707,0.352421,0.587368,0.489474,-0.000000,6.231947
0.100000,0.604473,2.967520,0.413605,0.636316,0.489474,0.000000,6.230583
0.100000,0.670462,2.964066,0.479684,0.685263,0.489474,-0.000000,6.231625
0.100000,0.741348,2.960533,0.550658,0.734211,0.489474,0.000000,6.235654
0.100000,0.817142,2.957196,0.626526,0.783158,0.489474,-0.000000,6.243295
0.100000,0.897858,2.954430,0.707289,0.832105,0.489474,0.000000,6.255215
0.100000,0.983498,2.952727,0.792947,0.881053,0.489474,-0.000000,6.272116
0.100000,1.073358,2.952463,0.883500,0.930000,0.489474,0.000000,0.000000
0.100000,1.168806,2.952463,0.978947,0.978947,0.489474,0.000000,0.000000
0.100000,1.269148,2.952463,1.079289,1.027895,0.489474,0.000000,0.000000
0.100000,1.374384,2.952463,1.184526,1.076842,0.489474,-0.000000,0.000000
0.100000,1.484516,2.952463,1.294658,1.125789,0.489474,0.000000,0.000000
0.100000,1.599542,2.952463,1.409684,1.174737,0.489474,-0.000000,0.000000
0.100000,1.719463,2.952463,1.529605,1.223684,0.489474,0.000000,0.000000
0.100000,1.843570,2.953222,1.654421,1.272632,0.489474,-0.000000,0.011139
0.100000,1.973269,2.954975,1.784132,1.321579,0.489474,0.000000,0.014420
0.100000,2.107864,2.956625,1.918737,1.370526,0.489474,-0.000000,0.008516
0.100000,2.247362,2.956806,2.058237,1.419474,0.489474,0.000000,6.275572
0.100000,2.391722,2.953860,2.202632,1.468421,0.489474,-0.000000,6.248168
0.100000,2.540186,2.945914,2.351921,1.517368,0.489474,0.000000,6.212752
0.100000,2.693866,2.933476,2.506105,1.566316,0.489474,-0.000000,6.195945
0.100000,2.852359,2.919835,2.665184,1.615263,0.489474,0.000000,6.202813
0.100000,3.015966,2.908998,2.829158,1.664211,0.489474,-0.000000,6.235621
0.100000,3.183967,2.899441,2.998026,1.713158,0.489474,0.000000,6.213081
0.100000,3.357192,2.885794,3.171789,1.762105,0.489474,0.000000,6.198848
0.100000,3.535215,2.870740,3.350447,1.811053,0.489474,0.000000,6.201768
0.100000,3.717626,2.858055,3.534000,1.860000,0.489474,0.000000,6.230990
0.100000,3.903455,2.850117,3.720000,1.860000,0.000000,-4.894737,6.243977
0.100000,4.089239,2.841233,3.906000,1.860000,0.000000,0.000000,6.220788
0.100000,4.274474,2.824693,4.092000,1.860000,0.000000,0.000000,6.161498
0.100000,4.458890,2.806288,4.278000,1.860000,0.000000,0.000000,6.228084
0.100000,4.644795,2.800750,4.464000,1.860000,0.000000,0.000000,6.267048
0.100000,4.830725,2.795950,4.650000,1.860000,0.000000,0.000000,6.236030
0.100000,5.015541,2.780196,4.836000,1.860000,0.000000,0.000000,6.167434
0.100000,5.200246,2.758307,5.022000,1.860000,0.000000,0.000000,6.177810
0.100000,5.385171,2.746562,5.208000,1.860000,0.000000,0.000000,6.277161
0.100000,5.570193,2.763302,5.394000,1.860000,0.000000,0.000000,0.161739
0.100000,5.753098,2.797064,5.580000,1.860000,0.000000,0.000000,0.178081
0.100000,5.937550,2.819854,5.766000,1.860000,0.000000,0.000000,0.042476
0.100000,6.122836,2.819021,5.952000,1.860000,0.000000,0.000000,0.015388
0.100000,6.308289,2.825994,6.137594,1.851884,-0.081159,-0.811589,0.050814
0.100000,6.490831,2.834462,6.320335,1.802937,-0.489474,-4.083147,0.033220
0.100000,6.668643,2.835132,6.498182,1.753989,-0.489474,0.000000,6.249333
0.100000,6.840769,2.837519,6.671133,1.705042,-0.489474,0.000000,0.051991
0.100000,7.008619,2.845718,6.839190,1.656095,-0.489474,0.000000,0.025658
0.100000,7.171531,2.839806,7.002352,1.607147,-0.489474,0.000000,6.164993
0.100000,7.325136,2.803346,7.160619,1.558200,-0.489474,0.000000,5.921801
0.100000,7.462262,2.735929,7.313992,1.509253,-0.489474,-0.000000,5.860488
0.100000,7.600193,2.681016,7.462470,1.460305,-0.489474,0.000000,5.883691
0.100000,7.722328,2.606973,7.606053,1.411358,-0.489474,-0.000000,5.533649
0.100000,7.798503,2.492883,7.744741,1.362410,-0.489474,0.000000,5.100761
0.100000,7.828485,2.363019,7.878535,1.313463,-0.489474,-0.000000,4.799538
0.100000,7.828809,2.234234,8.007434,1.264516,-0.489474,0.000000,4.654934
0.100000,7.817163,2.111335,8.131438,1.215568,-0.489474,-0.000000,4.553177
0.100000,7.790844,1.995241,8.250548,1.166621,-0.489474,0.000000,4.435256
0.100000,7.755957,1.886502,8.364762,1.117674,-0.489474,-0.000000,4.377814
0.100000,7.719447,1.783459,8.474082,1.068726,-0.489474,0.000000,4.374286
0.100000,7.686400,1.684988,8.578508,1.019779,-0.489474,-0.000000,4.377890
0.100000,7.646936,1.593708,8.678038,0.970831,-0.489474,-0.000000,4.234778
0.100000,7.598774,1.512298,8.772674,0.921884,-0.489474,0.000000,4.126914
0.100000,7.546378,1.439464,8.862415,0.872937,-0.489474,-0.000000,4.055819
0.100000,7.493151,1.373397,8.947261,0.823989,-0.489474,0.000000,4.017212
0.100000,7.441468,1.312397,9.027213,0.775042,-0.489474,0.000000,4.005723
0.100000,7.393243,1.255602,9.102270,0.726095,-0.489474,-0.000000,3.997212
0.100000,7.343491,1.206212,9.172432,0.677147,-0.489474,0.000000,3.856959
0.100000,7.292281,1.165781,9.237699,0.628200,-0.489474,-0.000000,3.770196
0.100000,7.242623,1.131453,9.298072,0.579253,-0.489474,0.000000,3.728838
0.100000,7.196271,1.100970,9.353550,0.530305,-0.489474,-0.000000,3.722869
0.100000,7.154231,1.072841,9.404133,0.481358,-0.489474,0.000000,3.743956
0.100000,7.117081,1.046251,9.449821,0.432410,-0.489474,-0.000000,3.785197
0.100000,7.085102,1.020932,9.490615,0.383463,-0.489474,0.000000,3.840216
0.100000,7.058327,0.997029,9.526514,0.334516,-0.489474,0.000000,3.902691
0.100000,7.036559,0.974958,9.557518,0.285568,-0.489474,-0.000000,3.966533
0.100000,7.019418,0.955269,9.583628,0.236621,-0.489474,0.000000,4.026451
0.100000,7.006409,0.938513,9.604842,0.187674,-0.489474,-0.000000,4.078453
0.100000,6.997017,0.925168,9.621162,0.138726,-0.489474,0.000000,4.119959
0.100000,6.990779,0.915597,9.632588,0.089779,-0.489474,-0.000000,4.149563
0.100000,6.987341,0.910045,9.639118,0.040831,-0.489474,0.000000,4.166621
0.100000,6.986286,0.908297,9.641160,0.000000,-0.408315,0.811589,4.171969
0.100000,6.986286,0.908297,9.641160,0.000000,0.000000,4.083147,4.171969
