dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.665461,1.675660,0.000620,0.024800,0.496000,9.920000,6.275159
0.050000,0.667335,1.675644,0.002494,0.037479,0.253578,-4.848437,6.274196
0.050000,0.671003,1.675608,0.006162,0.073369,0.717794,9.284325,6.272597
0.050000,0.676133,1.675548,0.011292,0.102600,0.584633,-2.663238,6.270375
0.050000,0.682718,1.675454,0.017878,0.131715,0.582295,-0.046756,6.267547
0.050000,0.690751,1.675315,0.025912,0.160679,0.579277,-0.060363,6.264133
0.050000,0.700221,1.675115,0.035385,0.189457,0.575555,-0.074428,6.260160
0.050000,0.711119,1.674840,0.046286,0.218013,0.571127,-0.088571,6.255659
0.050000,0.723429,1.674470,0.058601,0.246311,0.565963,-0.103274,6.250666
0.050000,0.737136,1.673987,0.072317,0.274314,0.560065,-0.117964,6.245222
0.050000,0.752222,1.673369,0.087416,0.301985,0.553407,-0.133160,6.239375
0.050000,0.768669,1.672597,0.103880,0.329284,0.545993,-0.148276,6.233176
0.050000,0.786452,1.671649,0.121689,0.356175,0.537808,-0.163689,6.226684
0.050000,0.805549,1.670504,0.140820,0.382617,0.528856,-0.179055,6.219960
0.050000,0.825932,1.669142,0.161249,0.408574,0.519138,-0.194358,6.213074
0.050000,0.847573,1.667546,0.182949,0.434007,0.508662,-0.209524,6.206099
0.050000,0.870443,1.665698,0.205893,0.458879,0.497439,-0.224445,6.199113
0.050000,0.894508,1.663586,0.230051,0.483154,0.485486,-0.239062,6.192202
0.050000,0.919735,1.661197,0.255390,0.506795,0.472820,-0.253331,6.185453
0.050000,0.946088,1.658526,0.281879,0.529768,0.459458,-0.267235,6.178962
0.050000,0.973531,1.655568,0.309481,0.552038,0.445418,-0.280806,6.172826
0.050000,1.002026,1.652327,0.338159,0.573574,0.430712,-0.294103,6.167149
0.050000,1.031534,1.648809,0.367876,0.594342,0.415352,-0.307219,6.162039
0.050000,1.062016,1.645028,0.398592,0.614308,0.399335,-0.320325,6.157608
0.050000,1.093431,1.641001,0.430264,0.633441,0.382657,-0.333572,6.153975
0.050000,1.125739,1.636756,0.462849,0.651706,0.365299,-0.347158,6.151260
